formula,neg_inflation,s_temp,e_temp,temp_range,Mn,Fe,Cr,Cu,Ge,Ga,Mn,Zn,Sn,Nb,Si,Ag,Re,Ni,Sb,N,C,B
Mn3.1Sn0.5Zn0.4N1,-6.73,390.15,439.15,49,3,,,,,,0.1,0.4,0.5,,,,,,,1,,
Mn3.1Sn0.4Zn0.5N1,-53.25,314.15,370.15,56,3,,,,,,0.1,0.5,0.4,,,,,,,1,,
Mn3.1Sn0.3Zn0.6N1,-27.84,330.15,381.15,51,3,,,,,,0.1,0.6,0.3,,,,,,,1,,
Mn3.2Sn0.4Zn0.4N1,-8.93,358.15,414.15,56,3,,,,,,0.2,0.4,0.4,,,,,,,1,,
Mn3.2Sn0.3Zn0.5N1,-106.43,292.15,344.15,52,3,,,,,,0.2,0.5,0.3,,,,,,,1,,
Mn3.2Sn0.2Zn0.6N1,-30.64,239.15,308.15,69,3,,,,,,0.2,0.6,0.2,,,,,,,1,,
Mn3.3Sn0.3Zn0.4N1,-3.14,262.15,306.15,44,3,,,,,,0.3,0.4,0.3,,,,,,,1,,
Mn3.3Sn0.2Zn0.5N1,-2.31,206.15,271.92,65.77,3,,,,,,0.3,0.5,0.2,,,,,,,1,,
Mn3.3Sn0.1Zn0.6N1,-2.83,175.15,218.15,43,3,,,,,,0.3,0.6,0.1,,,,,,,1,,
Mn3Cu0.53Ge0.47N,-16,267,342,75,3,,,0.53,0.47,,,,,,,,,,,1,,
Mn3Cu0.5Ge0.5N,-12,280,365,85,3,,,0.5,0.5,,,,,,,,,,,1,,
Mn3Ga0.7Ge0.3N0.88C0.12,-18,197,319,122,3,,,,0.3,0.7,,,,,,,,,,0.88,0.12,
Mn3Ga0.5Ge0.4Mn0.1N,-3,327.9,392.65,65.5,3,,,,0.4,0.5,0.1,,,,,,,,,1,,
(Mn0.96Fe0.04)3Zn0.5Ge0.5N,-25,316,386,70,2.88,0.12,,,0.5,,,0.5,,,,,,,,1,,
Mn3Cu0.9Ge0.1N,-22.82,85.6,104.8,19.2,3,,,0.9,0.1,,,,,,,,,,,1,,
Mn3Cu0.85Ge0.15N,-124.3,90.73,117.57,26.83,3,,,0.85,0.15,,,,,,,,,,,1,,
Mn3Cu0.7Ge0.3N,-42.79,152.07,209.58,57.5,3,,,0.7,0.3,,,,,,,,,,,1,,
Mn3Cu0.6Ge0.4N,-18,218.53,292.65,74.12,3,,,0.6,0.4,,,,,,,,,,,1,,
Mn3Cu0.5Ge0.5N,-8.15,281.15,361.66,80.51,3,,,0.5,0.5,,,,,,,,,,,1,,
Mn3Cu0.45Ge0.55N,-5.13,315.65,379.55,63.9,3,,,0.45,0.55,,,,,,,,,,,1,,
Mn3Zn0.9Ge0.1N,-228,202,222,20,3,,,,0.1,,,0.9,,,,,,,,1,,
Mn3Zn0.7Ge0.3N,-31,299,373,74,3,,,,0.3,,,0.7,,,,,,,,1,,
Mn3Zn0.5Ge0.5N,-7.15,348,448,100,3,,,,0.5,,,0.5,,,,,,,,1,,
Mn3Cu0.95Sn0.05N,-25.47,105.56,113.33,7.78,3,,,0.95,,,,,0.05,,,,,,,1,,
Mn3Cu0.9Sn0.1N,-343.92,93.33,101.11,7.78,3,,,0.9,,,,,0.1,,,,,,,1,,
Mn3Cu0.85Sn0.15N,-373.375,95.56,104.44,8.89,3,,,0.85,,,,,0.15,,,,,,,1,,
Mn3Cu0.7Sn0.3N,-56.81,157.78,192.22,34.44,3,,,0.7,,,,,0.3,,,,,,,1,,
Mn3Cu0.6Sn0.4N,-46.97,242.22,273.33,31.11,3,,,0.6,,,,,0.4,,,,,,,1,,
Mn3Cu0.5Sn0.5N,-28,296,332,36,3,,,0.5,,,,,0.5,,,,,,,1,,
Mn3Cu0.8Ga0.2N,-2.72,33.11,69.8,36.69,3,,,0.8,,0.2,,,,,,,,,,1,,
Mn3Cu0.7Ga0.3N,-66.46,34,73.37,39.37,3,,,0.7,,0.3,,,,,,,,,,1,,
Mn3Cu0.5Ga0.5N,-42.01,75.17,155.7,80.54,3,,,0.5,,0.5,,,,,,,,,,1,,
Mn3Cu0.3Ga0.7N,-74.27,188.81,234.45,45.64,3,,,0.3,,0.7,,,,,,,,,,1,,
Mn3Zn0.4Sn0.6N,-38,410,440,30,3,,,,,,,0.4,0.6,,,,,,,1,,
Mn3Zn0.4Sn0.6N0.85C0.15,-23,270,336,66,3,,,,,,,0.4,0.6,,,,,,,0.85,0.15,
Mn3Zn0.4Sn0.6N0.77C0.23,-1.91,198.53,226.83,28.3,3,,,,,,,0.4,0.6,,,,,,,0.77,0.23,
Mn3Cu0.6Nb0.05Ge0.35N,-5.08,219,281,62,3,,,0.6,0.35,,,,,0.05,,,,,,1,,
Mn3Cu0.6Nb0.1Ge0.4N,-19.93,199,256,57,3,,,0.6,0.3,,,,,0.1,,,,,,1,,
Mn3Cu0.6Nb0.15Ge0.25N,-11.3,128,221,93,3,,,0.6,0.25,,,,,0.15,,,,,,1,,
Mn3Cu0.6Nb0.2Ge0.2N,-5.71,77,172,95,3,,,0.6,0.2,,,,,0.2,,,,,,1,,
Mn3Cu0.6Si0.05Ge0.35N,-26.63,210,270,60,3,,,0.6,0.35,,,,,,0.05,,,,,1,,
Mn3Cu0.6Si0.1Ge0.3N,-29.4,170,238,68,3,,,0.6,0.3,,,,,,0.1,,,,,1,,
Mn3Cu0.6Si0.15Ge0.25N,-11.55,90,190,100,3,,,0.6,0.25,,,,,,0.15,,,,,1,,
Mn3Cu0.5Si0.05Ge0.45N,-6.57,260,340,80,3,,,0.5,0.45,,,,,,0.05,,,,,1,,
Mn3Cu0.5Si0.1Ge0.4N,-3.2,185,257,72,3,,,0.5,0.4,,,,,,0.1,,,,,1,,
Mn3Cu0.5Si0.15Ge0.35N,-2.6,143,231,88,3,,,0.5,0.35,,,,,,0.15,,,,,1,,
Mn3Cu0.6Si0.11Ge0.29N,-21.1,152,228,76,3,,,0.6,0.29,,,,,,0.11,,,,,1,,
Mn3Cu0.6Si0.12Ge0.28N,-18.2,140,223,83,3,,,0.6,0.28,,,,,,0.12,,,,,1,,
Mn3Cu0.6Si0.13Ge0.27N,-15.6,128,214,86,3,,,0.6,0.27,,,,,,0.13,,,,,1,,
Mn3Cu0.6Si0.14Ge0.26N,-12.4,115,206,91,3,,,0.6,0.26,,,,,,0.14,,,,,1,,
Mn3Cu0.6Si0.15Ge0.25N,-11.6,95,195,100,3,,,0.6,0.25,,,,,,0.15,,,,,1,,
Mn3Ga0.5Ge0.4Mn0.1N,-3,334,,,3,,,,0.4,0.5,0.1,,,,,,,,,1,,
Mn3Ga0.5Ge0.4Mn0.1N0.95C0.05,-2.32,253.26,337.21,83.95,3,,,,0.4,0.5,0.1,,,,,,,,,0.95,0.05,
Mn3Ga0.5Ge0.4Mn0.1N0.8C0.2,-0.39,197.53,281.48,83.95,3,,,,0.4,0.5,0.1,,,,,,,,,0.8,0.2,
Mn3Ga0.5Ge0.4Mn0.1N0.75C0.25,0,138.97,161.55,22.58,3,,,,0.4,0.5,0.1,,,,,,,,,0.75,0.25,
Mn3(Cu0.5Ni0.1Ge0.4)N,-15.35,209.98,280.04,70.06,3,,,0.5,0.4,,,,,,,,,0.1,,1,,
Mn3(Cu0.45Ni0.15Ge0.4)N,-9.76,184.93,265.16,80.23,3,,,0.45,0.4,,,,,,,,,0.15,,1,,
Mn3(Cu0.4Ni0.2Ge0.4)N,-12.11,181.8,251.86,70.06,3,,,0.4,0.4,,,,,,,,,0.2,,1,,
Mn3(Cu0.35Ni0.25Ge0.4)N,-8.74,164.97,244.81,79.84,3,,,0.35,0.4,,,,,,,,,0.25,,1,,
Mn3(Cu0.3Nix0.3Ge0.4)N,-10.02,155.18,224.85,69.66,3,,,0.3,0.4,,,,,,,,,0.3,,1,,
Mn3(Cu0.25Nix0.35Ge0.4)N,-7.69,145.4,210.37,64.97,3,,,0.25,0.4,,,,,,,,,0.35,,1,,
Mn3(Cu0.3Nix0.4Ge0.4)N,-3.31,125.05,164.97,39.92,3,,,0.2,0.4,,,,,,,,,0.4,,1,,
Mn3Ga0.75Si0.25N,-14,272,420,138,3,,,,,0.75,,,,,0.25,,,,,1,,
Mn3NiN,-123,250,330,80,3,,,,,,,,,,,,,1,,1,,
Mn3(Zn0.55Sn0.45)(N0.85C0.15),-19.31,210.58,288.73,78.15,3,,,,,,,0.55,0.45,,,,,,,0.85,0.15,
Mn3(Zn0.4Sn0.6)(N0.85C0.15),-23,270,336,66,3,,,,,,,0.4,0.6,,,,,,,0.85,0.15,
Mn3(Zn0.35Sn0.65)(N0.85C0.15),-21,284,353,68,3,,,,,,,0.35,0.65,,,,,,,0.85,0.15,
Mn3(Zn0.6Sn0.4)(N0.85C0.1B0.05),-34.9,243.35,295.56,52.21,3,,,,,,,0.6,0.4,,,,,,,0.85,0.1,0.05
Mn3(Zn0.55Sn0.45)(N0.85C0.1B0.05),-37,270,325,55,3,,,,,,,0.55,0.45,,,,,,,0.85,0.1,0.05
Mn3(Zn0.5Sn0.5)(N0.85C0.1B0.05),-30,280,340,60,3,,,,,,,0.5,0.5,,,,,,,0.85,0.1,0.05
Mn3(Cu0.5Sn0.5)N,-1.42,293.62,343.97,50.34,3,,,0.5,,,,,0.5,,,,,,,1,,
Mn3(Cu0.6Sn0.4)N,-18.67,238.23,274.18,35.95,3,,,0.6,,,,,0.4,,,,,,,1,,
Mn3(Cu0.7Sn0.3)N,-31.75,193.34,218.71,25.36,3,,,0.7,,,,,0.3,,,,,,,1,,
Mn3(Cu0.4Sb0.6)N,-34.78,86.99,102.14,15.15,3,,,0.4,,,,,,,,,,,0.6,1,,
Mn3(Cu0.5Sb0.5)N,-71.57,102.14,117.29,15.15,3,,,0.5,,,,,,,,,,,0.5,1,,
Mn3(Cu0.6Sb0.4)N,-192.44,117.29,123.08,5.79,3,,,0.6,,,,,,,,,,,0.4,1,,
Mn3(Cu0.7Sb0.3)N,-68.23,116.85,135.12,18.27,3,,,0.7,,,,,,,,,,,0.3,1,,
Mn3(Cu0.5Sb0.1Sn0.4)N,-7.24,293.69,323.5,29.8,3,,,0.5,,,,,0.4,,,,,,0.1,1,,
Mn3(Cu0.5Sb0.2Sn0.3)N,-18.13,248.42,294.03,45.6,3,,,0.5,,,,,0.3,,,,,,0.2,1,,
Mn3(Cu0.5Sb0.3Sn0.2)N,-46.6,208.24,233.32,25.07,3,,,0.5,,,,,0.2,,,,,,0.3,1,,
Mn3(Cu0.5Sb0.4Sn0.1)N,-92.92,143.37,158.16,14.8,3,,,0.5,,,,,0.1,,,,,,0.4,1,,
Mn3(Cu0.5Sb0.5)N,-83.75,113.61,128.42,14.81,3,,,0.5,,,,,0,,,,,,0.5,1,,
Mn3Cu0.9Si0.1N,-6.3,122,132,10,3,,,0.9,,,,,,,0.1,,,,,1,,
Mn3Cu0.8Si0.2N,-2.8,127,137,10,3,,,0.8,,,,,,,0.2,,,,,1,,
Mn3Cu0.7Si0.3N,-1.7,58,97,39,3,,,0.7,,,,,,,0.3,,,,,1,,
Mn3Cu0.6Si0.4N,-0.8,83,96,13,3,,,0.6,,,,,,,0.4,,,,,1,,
Mn3AgN,-44.5,260.88,275.98,8,3,,,,,,,,,,,1,,,,1,,
Mn3Ag0.7Mn0.3N,-57,213,233,20,3,,,,,,0.3,,,,,0.7,,,,1,,
Mn3Ag0.6Mn0.4N,-16.7,175,212,37,3,,,,,,0.4,,,,,0.6,,,,1,,
Mn3Ag0.5Mn0.5N,-5.14,135,185,50,3,,,,,,0.5,,,,,0.5,,,,1,,
Mn3Ag0.4Mn0.6N,-0.48,5,87,82,3,,,,,,0.6,,,,,0.4,,,,1,,
Mn2.85Cr0.15Cu0.6Ge0.4N,-32.27,191,239,48,2.85,,0.15,0.6,0.4,,,,,,,,,,,1,,
Mn2.7Cr0.3Cu0.6Ge0.4N,-29.15,135,190,55,2.7,,0.3,0.6,0.4,,,,,,,,,,,1,,
Mn2.65Cr0.45Cu0.6Ge0.4N,-19.14,80,150,70,2.65,,0.45,0.6,0.4,,,,,,,,,,,1,,
Mn3Cu0.55Re0.05Ge0.4N,-13.8,241,305,64,3,,,0.55,0.4,0,,0,0,0,0,0,0.05,,,1,0,
Mn3Cu0.5Re0.1Ge0.4N,-12.6,251,315,64,3,,,0.5,0.4,0,,0,0,0,0,0,0.1,,,1,0,
Mn3Cu0.4Re0.2Ge0.4N,-1.07,238,295,57,3,,,0.4,0.4,0,,0,0,0,0,0,0.2,,,1,0,
Mn3Cu0.6Ge0.4N0.95C0.05,-23.13,173,226,53,3,,,0.6,0.4,0,,0,0,0,0,0,,,,0.95,0.05,
Mn3Cu0.6Ge0.4N0.9C0.1,-23.875,135,191,56,3,,,0.6,0.4,0,,0,0,0,0,0,,,,0.9,0.1,
Mn3Cu0.6Ge0.4N0.85C0.15,-22.34,85,137,52,3,,,0.6,0.4,0,,0,0,0,0,0,,,,0.85,0.15,
Mn3Cu0.8Ge0.2N,-60.27,119.68,164.68,45,3,,,0.8,0.2,0,,0,0,0,0,0,,,,1,0,
