formula,neg_inflation,s_temp,e_temp,temp_range,Mn,Cu,Ge,Ga,Mn,Zn,Sn,Sb,N,C,B
Mn3.1Sn0.4Zn0.5N1,-25.3,313,371,58,3,,,,0.1,0.5,0.4,,1,,
Mn3.2Sn0.3Zn0.5N1,-33.8,293,345,53,3,,,,0.2,0.5,0.3,,1,,
Mn3.3Sn0.3Zn0.4N1,-30.7,261,306,45,3,,,,0.3,0.4,0.3,,1,,
Mn3.1Sn0.5Zn0.4N1,-7.93,391,439,48,3,,,,0.1,0.4,0.5,,1,,
Mn3.1Sn0.3Zn0.6N1,-29.7,330,381,51,3,,,,0.1,0.6,0.3,,1,,
Mn3.2Sn0.4Zn0.4N1,-9.91,357,413,56,3,,,,0.2,0.4,0.4,,1,,
Mn3.2Sn0.2Zn0.6N1,-19.6,238,309,71,3,,,,0.2,0.6,0.2,,1,,
Mn3.3Sn0.2Zn0.5N1,-22.6,206,273,67,3,,,,0.3,0.5,0.2,,1,,
Mn3.3Sn0.1Zn0.6N1,-29,175,217,42,3,,,,0.3,0.6,0.1,,1,,
Mn3Zn0.7Ge0.3N,-31,299,373,74,3,,0.3,,,0.7,,,1,,
Mn3Zn0.5Ge0.5N,-7.15,348,448,100,3,,0.5,,,0.5,,,1,,
Mn3Cu0.95Sn0.05N,-25.47,105.56,113.33,7.78,3,0.95,,,,,0.05,,1,,
Mn3Cu0.7Sn0.3N,-56.81,157.78,192.22,34.44,3,0.7,,,,,0.3,,1,,
Mn3Cu0.6Sn0.4N,-46.97,242.22,273.33,31.11,3,0.6,,,,,0.4,,1,,
Mn3Cu0.5Sn0.5N,-28,296,332,36,3,0.5,,,,,0.5,,1,,
Mn3Zn0.4Sn0.6N,-38,410,440,30,3,,,,,0.4,0.6,,1,,
Mn3Zn0.4Sn0.6N0.85C0.15,-23,270,336,66,3,,,,,0.4,0.6,,0.85,0.15,
Mn3Zn0.4Sn0.6N0.77C0.23,-1.91,198.53,226.83,28.3,3,,,,,0.4,0.6,,0.77,0.23,
Mn3(Zn0.55Sn0.45)(N0.85C0.15),-19.31,210.58,288.73,78.15,3,,,,,0.55,0.45,,0.85,0.15,
Mn3(Zn0.4Sn0.6)(N0.85C0.15),-23,270,336,66,3,,,,,0.4,0.6,,0.85,0.15,
Mn3(Zn0.35Sn0.65)(N0.85C0.15),-21,284,353,68,3,,,,,0.35,0.65,,0.85,0.15,
Mn3(Zn0.6Sn0.4)(N0.85C0.1B0.05),-34.9,243.35,295.56,52.21,3,,,,,0.6,0.4,,0.85,0.1,0.05
Mn3(Zn0.55Sn0.45)(N0.85C0.1B0.05),-37,270,325,55,3,,,,,0.55,0.45,,0.85,0.1,0.05
Mn3(Zn0.5Sn0.5)(N0.85C0.1B0.05),-30,280,340,60,3,,,,,0.5,0.5,,0.85,0.1,0.05
Mn3(Cu0.5Sn0.5)N,-1.42,293.62,343.97,50.34,3,0.5,,,,,0.5,,1,,
Mn3(Cu0.6Sn0.4)N,-18.67,238.23,274.18,35.95,3,0.6,,,,,0.4,,1,,
Mn3(Cu0.7Sn0.3)N,-31.75,193.34,218.71,25.36,3,0.7,,,,,0.3,,1,,
Mn3(Cu0.5Sb0.1Sn0.4)N,-7.24,293.69,323.5,29.8,3,0.5,,,,,0.4,0.1,1,,
Mn3(Cu0.5Sb0.2Sn0.3)N,-18.13,248.42,294.03,45.6,3,0.5,,,,,0.3,0.2,1,,
Mn3(Cu0.5Sb0.3Sn0.2)N,-46.6,208.24,233.32,25.07,3,0.5,,,,,0.2,0.3,1,,
Mn3(Cu0.5Sb0.4Sn0.1)N,-92.92,143.37,158.16,14.8,3,0.5,,,,,0.1,0.4,1,,
Mn3Ga0.8Sn0.2N,-38.4,314,373,59,3,0,0,0.8,,0,0.2,,1,0,
Mn3Ga0.7Sn0.3N,-24,335,396,61,3,0,0,0.7,,0,0.3,,1,0,
Mn3Ga0.6Sn0.4N,-15.6,355,422,67,3,0,0,0.6,,0,0.4,,1,0,
Mn3Ga0.5Sn0.5N,-12,407,458,51,3,0,0,0.5,,0,0.5,,1,0,
Mn3Ga0.4Sn0.6N,-6.5,451,489,38,3,0,0,0.4,,0,0.6,,1,0,
Mn3Ga0.3Sn0.7N,-0.45,480,513,33,3,0,0,0.3,,0,0.7,,1,0,
Mn2.95Cu0.1Sn0.55Zn0.4N,-34,330,365,35,2.95,0.1,0,0,,0.4,0.55,,1,0,
Mn3.1Zn0.5Sn0.4N,-36.4,335,375,40,3,0,0,0,0.1,0.5,0.4,,1,0,
Mn3.25Zn0.5Sn0.25N,-31.13,299.02,344.12,45.1,3,0,0,0,0.25,0.5,0.25,,1,0,
Mn3Ga0.6Sn0.4N,-31.33,372.55,418.63,46.08,3,0,0,0.6,,0,0.4,,1,0,
Mn3.27Zn0.45Sn0.28N,-30.3,265,325,60,3,0,0,0,0.27,0.45,0.28,,1,0,
