formula,AN1,AN2,AND,ANd,Rc1,Rc2,RcD,Rcd,Vmc,Rm1,Rm2,RmD,Rmd,Vmm,AW1,AW2,AWD,AWd,D1,D2,DD,Dd,Eea1,Eea2,EeaD,Eead,XM1,XM2,XMD,XMd,XP1,XP2,XPD,XPd,Gp1,Gp2,GpD,Gpd,Hf1,Hf2,HfD,Hfd,I11,I12,I1D,I1d,I21,I22,I2D,I2d,LP1,LP2,LPD,LPd,Tm1,Tm2,TmD,Tmd,P1,P2,PD,Pd,Cp1,Cp2,CpD,Cpd,K1,K2,KD,Kd,VEC1,VEC2,VECD,VECd,sVEC1,pVEC1,dVEC1,fs,fp,fd,W1,W2,WD,Wd,Hmix,Smix/R,Smix/kb,PHSmis,PHSmix,PHSS,t1,t2,deltaT,alpha
Mn3.1Sn0.4Zn0.5N1,30.5,28.79078695,8.200609733,0.26887245,0.1445,0.142887752,0.016057708,0.11112601,0.013125126,0.14267,0.141825338,0.011381305,0.079773637,0.012402345,68.3411879,63.77031968,20.49249347,0.299855681,7.1252,7.111179093,0.306240037,0.042979851,-0.194384,-1.145306204,0.538223645,2.76886804,1.665,1.653658829,0.144585615,0.086838207,1.5488,1.534216887,0.155327267,0.100288783,7.46,6.55226209,2.829911659,0.379344726,12.14552,11.32175973,2.991255524,0.246284681,7.4628,7.402655751,0.715526771,0.09587913,15.29620148,15.18118858,1.315590022,0.086007629,216.83568,95.27205916,132.1876458,0.609621285,1477.1774,1242.453865,472.214786,0.319673714,4.28,4.237288136,0.448998886,0.104906282,26.09836,26.08789949,0.521408506,0.019978593,26.3164,11.0916723,33.89490196,1.287976394,6.66,5.991440799,2.214587998,0.33252072,2,0.16,4.5,0.3003003,0.024024024,0.675675676,3.996,3.990088978,0.158063278,0.039555375,-12.3808,1.05058658,0.132445647,-13.00710233,-1.639783069,-1.722734086,313,371,58,-25.3
Mn3.2Sn0.3Zn0.5N1,30,28.4629981,7.745966692,0.25819889,0.1445,0.142887752,0.016057708,0.11112601,0.013125126,0.14213,0.141330418,0.011088106,0.078013834,0.01225229,67.0657488,62.98480626,19.26572303,0.287266203,7.1259,7.111846612,0.306598581,0.043025945,-0.226624,-1.073981703,0.506340315,2.234274899,1.663,1.651766909,0.144086779,0.086642682,1.5406,1.527889784,0.143797218,0.093338451,7.32,6.491499227,2.671628717,0.364976601,12.24594,11.47580081,2.900712391,0.236871354,7.4646,7.404462919,0.715338829,0.095830832,15.31634969,15.20150682,1.312980152,0.085724091,221.76946,97.21719851,131.3428381,0.592249438,1497.4588,1284.642921,451.3438111,0.301406497,4.26,4.219409283,0.438634244,0.102965785,26.08252,26.07280096,0.502044908,0.019248328,25.1408,10.82075716,33.4943176,1.332269363,6.72,6.069364162,2.182109072,0.324718612,2,0.12,4.6,0.297619048,0.017857143,0.68452381,3.987,3.981660765,0.150269757,0.037689932,-11.5792,1.00657448,0.126666609,-11.65532722,-1.466698003,-1.47634078,293,345,53,-33.8
Mn3.3Sn0.3Zn0.4N1,29.9,28.35538752,7.777531742,0.260118118,0.14484,0.143298277,0.015754821,0.108773968,0.013197992,0.14204,0.141235026,0.011127282,0.078339072,0.012230983,66.8569097,62.75499157,19.33931899,0.289264327,7.1291,7.114953197,0.307562498,0.043141841,-0.224624,-1.06634679,0.505057433,2.248457122,1.6552,1.645468674,0.133644903,0.08074245,1.5386,1.526066393,0.142954678,0.092912179,7.22,6.441717791,2.586812711,0.358284309,12.3405,11.61870049,2.814436876,0.22806506,7.4254,7.373815157,0.660106082,0.088898387,15.26985542,15.16336177,1.258410901,0.082411448,227.54886,103.0295594,129.1660796,0.567641075,1513.9882,1311.100008,436.4562367,0.288282456,4.26,4.219409283,0.438634244,0.102965785,26.10112,26.09173551,0.493193051,0.018895475,22.9772,10.54851144,30.95287489,1.347112568,6.62,6.025824964,2.048316382,0.309413351,2,0.12,4.5,0.302114804,0.018126888,0.679758308,3.979,3.974112254,0.143906219,0.036166429,-11.6624,0.96699071,0.127724951,-11.27743246,-1.489579472,-1.440409511,261,306,45,-30.7
Mn3.1Sn0.5Zn0.4N1,30.9,29.01353965,8.642337647,0.279687302,0.14484,0.143298277,0.015754821,0.108773968,0.013197992,0.14312,0.142226998,0.011687754,0.081664018,0.012531094,69.4077879,64.33412524,21.66493999,0.3121399,7.1277,7.113617119,0.306860245,0.04305179,-0.160144,-1.21682627,0.565114688,3.52879089,1.6592,1.649227985,0.134919828,0.081316193,1.555,1.538742782,0.165121168,0.106187246,7.5,6.5625,2.906888371,0.387585116,12.13966,11.30718358,3.000970494,0.247203834,7.4218,7.370231548,0.660294752,0.088966929,15.229559,15.12298267,1.262045737,0.082868173,217.6813,98.75592783,131.1278538,0.602384559,1473.4254,1226.1165,479.1278225,0.325179559,4.3,4.255319149,0.458257569,0.106571528,26.1328,26.12199399,0.530277814,0.020291657,25.3284,11.07596132,31.92930694,1.260612867,6.5,5.874125874,2.109502311,0.324538817,2,0.2,4.3,0.307692308,0.030769231,0.661538462,3.997,3.990940312,0.160128074,0.040062065,-13.2496,1.05058658,0.138797099,-13.91985195,-1.839006047,-1.932035073,391,439,48,-7.93
Mn3.1Sn0.3Zn0.6N1,30.1,28.57142857,7.712976079,0.256245052,0.14416,0.142479571,0.016347917,0.113401202,0.013052261,0.14222,0.14142594,0.011048059,0.077682876,0.012273597,67.2745879,63.21631033,19.18957219,0.285242508,7.1227,7.108742738,0.305598118,0.042904814,-0.228624,-1.081726735,0.507612075,2.220292159,1.6708,1.658113544,0.153425422,0.091827521,1.5426,1.529717538,0.144607192,0.093742508,7.42,6.542056075,2.750199993,0.370646899,12.15138,11.3363735,2.981497381,0.245362863,7.5038,7.435366506,0.764595292,0.101894412,15.36284397,15.23984427,1.363786027,0.088771716,215.99006,92.02561939,133.2336415,0.616850801,1480.9294,1259.232484,465.1687682,0.314105972,4.26,4.219409283,0.438634244,0.102965785,26.06392,26.05389387,0.510065558,0.019569794,27.3044,11.10742791,35.72528277,1.308407537,6.82,6.113537118,2.30382291,0.337803946,2,0.12,4.7,0.293255132,0.017595308,0.68914956,3.995,3.989238007,0.15596474,0.039039985,-11.5152,1.041506046,0.125594174,-11.99315043,-1.446242033,-1.506269822,330,381,51,-29.7
Mn3.2Sn0.4Zn0.4N1,30.4,28.68068834,8.236504113,0.270937635,0.14484,0.143298277,0.015754821,0.108773968,0.013197992,0.14258,0.141729277,0.01142373,0.080121544,0.012381039,68.1323488,63.53474772,20.57464913,0.301980623,7.1284,7.114285095,0.30721237,0.04309696,-0.192384,-1.136627626,0.536896851,2.790756251,1.6572,1.647346185,0.134298771,0.081039568,1.5468,1.532378372,0.154653678,0.099982983,7.36,6.501547988,2.755068057,0.374329899,12.24008,11.46082559,2.91093174,0.237819666,7.4236,7.372022917,0.660202878,0.088932981,15.24970721,15.1431453,1.260390681,0.082650156,222.61508,100.8474878,130.2441448,0.58506434,1493.7068,1267.185002,458.7374997,0.307113484,4.28,4.237288136,0.448998886,0.104906282,26.11696,26.10685598,0.51231619,0.019616226,24.1528,10.80580378,31.46684903,1.302824063,6.56,5.949008499,2.08,0.317073171,2,0.16,4.4,0.304878049,0.024390244,0.670731707,3.988,3.982508506,0.15249918,0.038239514,-12.4672,1.011627911,0.133603402,-12.6121675,-1.66566033,-1.68502848,357,413,56,-9.91
Mn3.2Sn0.2Zn0.6N1,29.6,28.24858757,7.2,0.243243243,0.14416,0.142479571,0.016347917,0.113401202,0.013052261,0.14168,0.140933799,0.010723134,0.075685586,0.012123542,65.9991488,62.44430341,17.7973231,0.269659888,7.1234,7.109409799,0.305963135,0.04295184,-0.260864,-1.017880596,0.471336446,1.806828255,1.6688,1.656211423,0.153031239,0.091701365,1.5344,1.523427415,0.131759781,0.085870556,7.28,6.481481481,2.584879107,0.355065811,12.2518,11.49081522,2.890445031,0.235920031,7.5056,7.437189682,0.764322864,0.101833679,15.38299218,15.26031993,1.360281827,0.088427649,220.92384,93.83919254,132.427017,0.599423842,1501.2108,1302.588592,443.795249,0.295624871,4.24,4.201680672,0.42708313,0.100727153,26.04808,26.03883467,0.489140137,0.018778357,26.1288,10.83575199,35.37829485,1.353996159,6.88,6.194690265,2.268391501,0.329708067,2,0.08,4.8,0.290697674,0.011627907,0.697674419,3.986,3.980813385,0.148,0.037129955,-10.6944,0.990697986,0.119218941,-10.59492054,-1.274975043,-1.263115206,238,309,71,-19.6
Mn3.3Sn0.2Zn0.5N1,29.5,28.14258912,7.228416147,0.245031056,0.1445,0.142887752,0.016057708,0.11112601,0.013125126,0.14159,0.140838941,0.010759875,0.075993181,0.012102235,65.7903097,62.21840904,17.86450081,0.271536962,7.1266,7.112514256,0.306955111,0.043071747,-0.258864,-1.011019945,0.470103713,1.816025841,1.661,1.649879313,0.143558351,0.086428868,1.5324,1.521614653,0.130744943,0.085320375,7.18,6.431852986,2.495515979,0.3475649,12.34636,11.6340914,2.803655969,0.227083608,7.4664,7.406270969,0.715146307,0.095781944,15.3364979,15.22187952,1.310055248,0.085420756,226.70324,99.24341987,130.305887,0.57478617,1517.7402,1329.797849,428.5008718,0.282328209,4.24,4.201680672,0.42708313,0.100727153,26.06668,26.0577199,0.481382943,0.018467367,23.9652,10.56276073,33.04709023,1.378961587,6.78,6.149341142,2.14746362,0.316735047,2,0.08,4.7,0.294985251,0.01179941,0.693215339,3.978,3.973268083,0.141477913,0.035565086,-10.7552,0.955141318,0.120189949,-10.2727359,-1.292666941,-1.234679606,206,273,67,-22.6
Mn3.3Sn0.1Zn0.6N1,29.1,27.93296089,6.609841148,0.227142307,0.14416,0.142479571,0.016347917,0.113401202,0.013052261,0.14114,0.140445072,0.010359942,0.073401885,0.011973486,64.7237097,61.69092473,16.18629816,0.250082979,7.1241,7.110076986,0.306326117,0.042998571,-0.293104,-0.961151122,0.429612892,1.465735343,1.6668,1.654313662,0.152609829,0.091558573,1.5262,1.51718881,0.11694255,0.076623346,7.14,6.422018349,2.400083332,0.336146125,12.35222,11.64952314,2.792821149,0.226098721,7.5074,7.439013752,0.764046098,0.101772398,15.40314039,15.28085068,1.356469339,0.088064466,225.85762,95.72568384,131.4303698,0.581916916,1521.4922,1349.036712,420.3615024,0.276282391,4.22,4.184100418,0.414246304,0.098162631,26.03224,26.02379287,0.466741323,0.017929357,24.9532,10.57704858,34.98839227,1.402160535,6.94,6.278026906,2.230784615,0.321438705,2,0.04,4.9,0.288184438,0.005763689,0.706051873,3.977,3.972424271,0.139,0.034950968,-9.8512,0.92879986,0.112132971,-9.14979318,-1.104644325,-1.025993494,175,217,42,-29
Mn3Zn0.7Ge0.3N,26.4,26.19372442,2.467792536,0.09347699,0.1346,0.134136189,0.007634789,0.056722056,0.010311074,0.1349625,0.134864048,0.00355209,0.026319089,0.010318462,58.09228375,57.60026123,5.710271231,0.098296553,7.1235,7.07477385,0.517066485,0.072586016,-0.387525,-0.577754349,0.462975215,1.19469767,1.7355,1.72347414,0.152560644,0.087905874,1.602,1.594273353,0.122131077,0.076236627,8.4,7.868852459,2.467792536,0.293784826,13.08935,11.34152594,7.021047378,0.536393891,7.811875,7.751241118,0.738720082,0.094563736,16.06871535,16.02491731,0.876511598,0.054547708,249.0974,104.8776391,123.0138852,0.493838495,1351.4365,1237.2396,313.8624735,0.232243597,4,4,0,0,25.9249,25.89491931,0.845620358,0.032618076,30.6575,10.13493286,41.5918591,1.356661799,7.65,7.118644068,2.151162476,0.281197709,2,0.15,5.5,0.261437908,0.019607843,0.718954248,4.0525,4.032170808,0.30902063,0.07625432,-4.75125,0.71505122,0.014416526,-3.39738711,-0.068496517,-0.048978518,299,373,74,-31
