,passengers,passenger
0,112.0,112.0
1,118.0,118.0
2,132.0,132.0
3,129.0,129.0
4,121.0,121.0
5,135.0,135.0
6,148.0,148.0
7,148.0,148.0
8,136.0,136.0
9,119.0,119.0
10,104.0,104.0
11,118.0,118.0
12,115.0,115.0
13,126.0,126.0
14,141.0,141.0
15,135.0,135.0
16,125.0,125.0
17,149.0,149.0
18,170.0,170.0
19,170.0,170.0
20,158.0,158.0
21,133.0,133.0
22,114.0,114.0
23,140.0,140.0
24,145.0,145.0
25,150.0,150.0
26,178.0,178.0
27,163.0,163.0
28,172.0,172.0
29,178.0,178.0
30,199.0,199.0
31,199.0,199.0
32,184.0,184.0
33,162.0,162.0
34,146.0,146.0
35,166.0,166.0
36,171.0,171.0
37,180.0,180.0
38,193.0,193.0
39,181.0,181.0
40,183.0,183.0
41,218.0,218.0
42,230.0,230.0
43,242.0,242.0
44,209.0,209.0
45,191.0,191.0
46,172.0,172.0
47,194.0,194.0
48,196.0,196.0
49,196.0,196.0
50,236.0,236.0
51,235.0,235.0
52,229.0,229.0
53,243.0,243.0
54,264.0,264.0
55,272.0,272.0
56,237.0,237.0
57,211.0,211.0
58,180.0,180.0
59,201.0,201.0
60,204.0,204.0
61,188.0,188.0
62,235.0,235.0
63,227.0,227.0
64,234.0,234.0
65,264.0,264.0
66,302.0,302.0
67,293.0,293.0
68,259.0,259.0
69,229.0,229.0
70,203.0,203.0
71,229.0,229.0
72,242.0,242.0
73,233.0,233.0
74,267.0,267.0
75,269.0,269.0
76,270.0,270.0
77,315.0,315.0
78,364.0,364.0
79,347.0,347.0
80,312.0,312.0
81,274.0,274.0
82,237.0,237.0
83,278.0,278.0
84,284.0,284.0
85,277.0,277.0
86,317.0,317.0
87,313.0,313.0
88,318.0,318.0
89,374.0,374.0
90,413.0,413.0
91,405.0,405.0
92,355.0,355.0
93,306.0,306.0
94,271.0,271.0
95,306.0,306.0
96,315.0,315.0
97,301.0,301.0
98,356.0,356.0
99,348.0,348.0
100,355.0,355.0
101,422.0,422.0
102,465.0,465.0
103,467.0,467.0
104,404.0,404.0
105,347.0,347.0
106,305.0,305.0
107,336.0,336.0
108,340.0,340.0
109,318.0,318.0
110,362.0,362.0
111,348.0,348.0
112,363.0,363.0
113,435.0,435.0
114,491.0,491.0
115,505.0,505.0
116,404.0,404.0
117,359.0,359.0
118,310.0,310.0
119,337.0,337.0
120,360.0,360.0
121,342.0,342.0
122,406.0,406.0
123,396.0,396.0
124,420.0,420.0
125,472.0,472.0
126,548.0,548.0
127,559.0,559.0
128,463.0,463.0
129,407.0,407.0
130,362.0,362.0
131,405.0,405.0
132,417.0,417.0
133,391.0,391.0
134,419.0,419.0
135,461.0,461.0
136,472.0,472.0
137,535.0,535.0
138,622.0,622.0
139,606.0,606.0
140,508.0,508.0
141,461.0,461.0
142,390.0,390.0
143,432.0,432.0
