     Index       y_measurement           y_fitting        descriptor_1
         1    0.1549788000E+01    0.1264170277E+01    0.1968379945E+04
         2    0.1466182000E+01    0.1200781280E+01    0.3936759889E+04
         3    0.1446165000E+01    0.1148268115E+01    0.5567419227E+04
         4    0.1391950000E+01    0.1107973346E+01    0.6818668145E+04
         5    0.1329782000E+01    0.1074003285E+01    0.7873519778E+04
         6    0.1288727000E+01    0.1044075060E+01    0.8802862723E+04
         7    0.1107135000E+01    0.1240068881E+01    0.2716785934E+04
         8    0.9955770000E+00    0.1152578487E+01    0.5433571867E+04
         9    0.9304320000E+00    0.1080099072E+01    0.7684231027E+04
        10    0.8601540000E+00    0.1024483660E+01    0.9411222540E+04
        11    0.8132900000E+00    0.9775976996E+00    0.1086714373E+05
        12    0.7910940000E+00    0.9362903387E+00    0.1214983606E+05
        13    0.9845240000E+00    0.1275284882E+01    0.1623244866E+04
        14    0.9309440000E+00    0.1223010491E+01    0.3246489733E+04
        15    0.9614230000E+00    0.1179704966E+01    0.4591229810E+04
        16    0.9769790000E+00    0.1146475469E+01    0.5623085164E+04
        17    0.9888410000E+00    0.1118461707E+01    0.6492979466E+04
        18    0.1004257000E+01    0.1093781087E+01    0.7259371731E+04
        19    0.1389416000E+01    0.1274136029E+01    0.1658919513E+04
        20    0.1283943000E+01    0.1220712784E+01    0.3317839025E+04
        21    0.1247310000E+01    0.1176455518E+01    0.4692132947E+04
        22    0.1157371000E+01    0.1142495724E+01    0.5746665763E+04
        23    0.1044772000E+01    0.1113866293E+01    0.6635678050E+04
        24    0.9840370000E+00    0.1088643258E+01    0.7418913598E+04
        25    0.1174140000E+01    0.1290028083E+01    0.1165433250E+04
        26    0.1109564000E+01    0.1252496891E+01    0.2330866500E+04
        27    0.1084330000E+01    0.1221405033E+01    0.3296343016E+04
        28    0.9980950000E+00    0.1197547412E+01    0.4037179203E+04
        29    0.9019030000E+00    0.1177434507E+01    0.4661732999E+04
        30    0.8229210000E+00    0.1159714682E+01    0.5211975940E+04
        31    0.1397878000E+01    0.1285399526E+01    0.1309160985E+04
        32    0.1317045000E+01    0.1243239779E+01    0.2618321970E+04
        33    0.1280669000E+01    0.1208313500E+01    0.3702866440E+04
        34    0.1229649000E+01    0.1181513624E+01    0.4535066682E+04
        35    0.1156202000E+01    0.1158920283E+01    0.5236643940E+04
        36    0.1126851000E+01    0.1139015150E+01    0.5854745911E+04
        37    0.1582071000E+01    0.1271929102E+01    0.1727449869E+04
        38    0.1528743000E+01    0.1216298930E+01    0.3454899739E+04
        39    0.1510316000E+01    0.1170213386E+01    0.4885966067E+04
        40    0.1432144000E+01    0.1134850705E+01    0.5984061883E+04
        41    0.1347616000E+01    0.1105038586E+01    0.6909799478E+04
        42    0.1300053000E+01    0.1078773581E+01    0.7725390671E+04
        43    0.1158222000E+01    0.1279027073E+01    0.1507040895E+04
        44    0.9512950000E+00    0.1230494872E+01    0.3014081790E+04
        45    0.8651260000E+00    0.1190289480E+01    0.4262555346E+04
        46    0.8220380000E+00    0.1159438798E+01    0.5220542799E+04
        47    0.8067400000E+00    0.1133430470E+01    0.6028163580E+04
        48    0.8028890000E+00    0.1110516673E+01    0.6739691772E+04
        49    0.1332916000E+01    0.1278173401E+01    0.1533549462E+04
        50    0.1295283000E+01    0.1228787528E+01    0.3067098923E+04
        51    0.1341082000E+01    0.1187874930E+01    0.4337532894E+04
        52    0.1391757000E+01    0.1156481590E+01    0.5312371167E+04
        53    0.1453543000E+01    0.1130015781E+01    0.6134197846E+04
        54    0.1541606000E+01    0.1106698934E+01    0.6858241686E+04
