     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.1549788000E+01    0.1399356841E+01    0.1968379945E+04   -0.1103629119E+01
         2    0.1466182000E+01    0.1314307567E+01    0.3936759889E+04   -0.1103629119E+01
         3    0.1446165000E+01    0.1243850442E+01    0.5567419227E+04   -0.1103629119E+01
         4    0.1391950000E+01    0.1189786788E+01    0.6818668145E+04   -0.1103629119E+01
         5    0.1329782000E+01    0.1144209020E+01    0.7873519778E+04   -0.1103629119E+01
         6    0.1288727000E+01    0.1104054200E+01    0.8802862723E+04   -0.1103629119E+01
         7    0.1107135000E+01    0.1277750371E+01    0.2716785934E+04   -0.1102323377E+01
         8    0.9955770000E+00    0.1160364157E+01    0.5433571867E+04   -0.1102323377E+01
         9    0.9304320000E+00    0.1063118233E+01    0.7684231027E+04   -0.1102323377E+01
        10    0.8601540000E+00    0.9884988109E+00    0.9411222540E+04   -0.1102323377E+01
        11    0.8132900000E+00    0.9255917283E+00    0.1086714373E+05   -0.1102323377E+01
        12    0.7910940000E+00    0.8701694755E+00    0.1214983606E+05   -0.1102323377E+01
        13    0.9845240000E+00    0.1364225125E+01    0.1623244866E+04   -0.1102897124E+01
        14    0.9309440000E+00    0.1294088363E+01    0.3246489733E+04   -0.1102897124E+01
        15    0.9614230000E+00    0.1235985166E+01    0.4591229810E+04   -0.1102897124E+01
        16    0.9769790000E+00    0.1191401015E+01    0.5623085164E+04   -0.1102897124E+01
        17    0.9888410000E+00    0.1153814837E+01    0.6492979466E+04   -0.1102897124E+01
        18    0.1004257000E+01    0.1120700750E+01    0.7259371731E+04   -0.1102897124E+01
        19    0.1389416000E+01    0.1372416757E+01    0.1658919513E+04   -0.1103039489E+01
        20    0.1283943000E+01    0.1300738573E+01    0.3317839025E+04   -0.1103039489E+01
        21    0.1247310000E+01    0.1241358422E+01    0.4692132947E+04   -0.1103039489E+01
        22    0.1157371000E+01    0.1195794429E+01    0.5746665763E+04   -0.1103039489E+01
        23    0.1044772000E+01    0.1157382206E+01    0.6635678050E+04   -0.1103039489E+01
        24    0.9840370000E+00    0.1123540358E+01    0.7418913598E+04   -0.1103039489E+01
        25    0.1174140000E+01    0.1099399326E+01    0.1165433250E+04   -0.1098734191E+01
        26    0.1109564000E+01    0.1049043574E+01    0.2330866500E+04   -0.1098734191E+01
        27    0.1084330000E+01    0.1007327504E+01    0.3296343016E+04   -0.1098734191E+01
        28    0.9980950000E+00    0.9753176369E+00    0.4037179203E+04   -0.1098734191E+01
        29    0.9019030000E+00    0.9483320711E+00    0.4661732999E+04   -0.1098734191E+01
        30    0.8229210000E+00    0.9245573102E+00    0.5211975940E+04   -0.1098734191E+01
        31    0.1397878000E+01    0.1222962875E+01    0.1309160985E+04   -0.1100632386E+01
        32    0.1317045000E+01    0.1166396971E+01    0.2618321970E+04   -0.1100632386E+01
        33    0.1280669000E+01    0.1119536242E+01    0.3702866440E+04   -0.1100632386E+01
        34    0.1229649000E+01    0.1083578740E+01    0.4535066682E+04   -0.1100632386E+01
        35    0.1156202000E+01    0.1053265163E+01    0.5236643940E+04   -0.1100632386E+01
        36    0.1126851000E+01    0.1026558366E+01    0.5854745911E+04   -0.1100632386E+01
        37    0.1582071000E+01    0.1384769216E+01    0.1727449869E+04   -0.1103263479E+01
        38    0.1528743000E+01    0.1310129989E+01    0.3454899739E+04   -0.1103263479E+01
        39    0.1510316000E+01    0.1248296829E+01    0.4885966067E+04   -0.1103263479E+01
        40    0.1432144000E+01    0.1200850577E+01    0.5984061883E+04   -0.1103263479E+01
        41    0.1347616000E+01    0.1160851536E+01    0.6909799478E+04   -0.1103263479E+01
        42    0.1300053000E+01    0.1125611674E+01    0.7725390671E+04   -0.1103263479E+01
        43    0.1158222000E+01    0.1327913463E+01    0.1507040895E+04   -0.1102292554E+01
        44    0.9512950000E+00    0.1262797613E+01    0.3014081790E+04   -0.1102292554E+01
        45    0.8651260000E+00    0.1208853876E+01    0.4262555346E+04   -0.1102292554E+01
        46    0.8220380000E+00    0.1167461391E+01    0.5220542799E+04   -0.1102292554E+01
        47    0.8067400000E+00    0.1132565912E+01    0.6028163580E+04   -0.1102292554E+01
        48    0.8028890000E+00    0.1101822378E+01    0.6739691772E+04   -0.1102292554E+01
        49    0.1332916000E+01    0.1337602873E+01    0.1533549462E+04   -0.1102451034E+01
        50    0.1295283000E+01    0.1271341647E+01    0.3067098923E+04   -0.1102451034E+01
        51    0.1341082000E+01    0.1216449051E+01    0.4337532894E+04   -0.1102451034E+01
        52    0.1391757000E+01    0.1174328480E+01    0.5312371167E+04   -0.1102451034E+01
        53    0.1453543000E+01    0.1138819196E+01    0.6134197846E+04   -0.1102451034E+01
        54    0.1541606000E+01    0.1107534889E+01    0.6858241686E+04   -0.1102451034E+01
