     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.1549788000E+01    0.1524009826E+01    0.1198395841E-01   -0.4270757600E-02    0.1071012343E-02
         2    0.1466182000E+01    0.1524009826E+01    0.1198395841E-01   -0.4270757600E-02    0.1071012343E-02
         3    0.1446165000E+01    0.1524009826E+01    0.1198395841E-01   -0.4270757600E-02    0.1071012343E-02
         4    0.1391950000E+01    0.1524009826E+01    0.1198395841E-01   -0.4270757600E-02    0.1071012343E-02
         5    0.1329782000E+01    0.1524009826E+01    0.1198395841E-01   -0.4270757600E-02    0.1071012343E-02
         6    0.1288727000E+01    0.1524009826E+01    0.1198395841E-01   -0.4270757600E-02    0.1071012343E-02
         7    0.1107135000E+01    0.1001766705E+01    0.8128904484E-02   -0.2177411216E-02    0.5380658525E-03
         8    0.9955770000E+00    0.1001766705E+01    0.8128904484E-02   -0.2177411216E-02    0.5380658525E-03
         9    0.9304320000E+00    0.1001766705E+01    0.8128904484E-02   -0.2177411216E-02    0.5380658525E-03
        10    0.8601540000E+00    0.1001766705E+01    0.8128904484E-02   -0.2177411216E-02    0.5380658525E-03
        11    0.8132900000E+00    0.1001766705E+01    0.8128904484E-02   -0.2177411216E-02    0.5380658525E-03
        12    0.7910940000E+00    0.1001766705E+01    0.8128904484E-02   -0.2177411216E-02    0.5380658525E-03
        13    0.9845240000E+00    0.9133355527E+00    0.1456691074E-01   -0.5533227801E-02    0.1381806988E-02
        14    0.9309440000E+00    0.9133355527E+00    0.1456691074E-01   -0.5533227801E-02    0.1381806988E-02
        15    0.9614230000E+00    0.9133355527E+00    0.1456691074E-01   -0.5533227801E-02    0.1381806988E-02
        16    0.9769790000E+00    0.9133355527E+00    0.1456691074E-01   -0.5533227801E-02    0.1381806988E-02
        17    0.9888410000E+00    0.9133355527E+00    0.1456691074E-01   -0.5533227801E-02    0.1381806988E-02
        18    0.1004257000E+01    0.9133355527E+00    0.1456691074E-01   -0.5533227801E-02    0.1381806988E-02
