,钢号,试验单位,缺口形状,试样尺寸,取样方向,试验方法,炉号,热处理号,温度,样品数,抗拉强度,序号,试验单位-化学成分,铈,镧,钙,钴,铝(不可溶),铝(可溶),铌,钛,硼,铜,钨,钒,钼,镍,铬,硫,磷,锰,硅,碳,锶,硒,钠,汞,镉,银,砷,铋,锌,锑,锡,铅,铁,稀土,氮气,氧气,氢气,氮,氧,氢,镁,热处理工艺,夹杂物,晶粒度,最大晶粒度,渗氮,渗碳,试验单位-金相组织,金相组织,马氏体转变开
0,00Cr12Ni8Cu2AlNb,_,光滑,_,_,,060195,2.0,25.0,1.0,1700.0,1.0,_,0.0,0.0,0.0,0.0,0.0,1.0,0.35,0.0,0.0,2.0,0.0,0.0,0.0,8.0,12.0,0.025,0.025,0.35,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:480℃  3h 空冷;淬火:NaN;正火:900℃  8分,空冷;退火:NaN",,,,,,,,
1,00Cr12Ni8Cu2AlNb,_,光滑,_,_,,060195,3.0,25.0,1.0,1645.0,2.0,_,0.0,0.0,0.0,0.0,0.0,1.0,0.35,0.0,0.0,2.0,0.0,0.0,0.0,8.0,12.0,0.025,0.025,0.35,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:510℃  3h 空冷;淬火:NaN;正火:900℃  8分,空冷;退火:NaN",,,,,,,,
2,00Cr12Ni8Cu2AlNb,_,光滑,_,_,,060195,4.0,350.0,1.0,822.0,3.0,_,0.0,0.0,0.0,0.0,0.0,1.0,0.35,0.0,0.0,2.0,0.0,0.0,0.0,8.0,12.0,0.025,0.025,0.35,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:850℃  30分 空冷;退火:NaN,,,,,,,,
3,00Cr12Ni8Cu2AlNb,_,光滑,_,_,,060195,5.0,350.0,1.0,1240.0,4.0,_,0.0,0.0,0.0,0.0,0.0,1.0,0.35,0.0,0.0,2.0,0.0,0.0,0.0,8.0,12.0,0.025,0.025,0.35,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:480℃  3h 空冷;淬火:NaN;正火:850℃  30分 空冷;退火:NaN,,,,,,,,
4,00Cr12Ni8Cu2AlNb,_,光滑,_,_,,060195,4.0,400.0,1.0,966.0,5.0,_,0.0,0.0,0.0,0.0,0.0,1.0,0.35,0.0,0.0,2.0,0.0,0.0,0.0,8.0,12.0,0.025,0.025,0.35,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:850℃  30分 空冷;退火:NaN,,,,,,,,
5,00Cr12Ni8Cu2AlNb,_,光滑,_,_,,060195,5.0,400.0,1.0,1200.0,6.0,_,0.0,0.0,0.0,0.0,0.0,1.0,0.35,0.0,0.0,2.0,0.0,0.0,0.0,8.0,12.0,0.025,0.025,0.35,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:480℃  3h 空冷;淬火:NaN;正火:850℃  30分 空冷;退火:NaN,,,,,,,,
6,00Cr12Ni8Cu2AlNb,_,光滑,_,_,,060195,4.0,450.0,1.0,945.0,7.0,_,0.0,0.0,0.0,0.0,0.0,1.0,0.35,0.0,0.0,2.0,0.0,0.0,0.0,8.0,12.0,0.025,0.025,0.35,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:850℃  30分 空冷;退火:NaN,,,,,,,,
7,00Cr12Ni8Cu2AlNb,_,光滑,_,_,,060195,5.0,450.0,1.0,1087.0,8.0,_,0.0,0.0,0.0,0.0,0.0,1.0,0.35,0.0,0.0,2.0,0.0,0.0,0.0,8.0,12.0,0.025,0.025,0.35,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:480℃  3h 空冷;淬火:NaN;正火:850℃  30分 空冷;退火:NaN,,,,,,,,
8,00Cr12Ni8Cu2AlNb,_,光滑,_,_,,060195,4.0,510.0,1.0,864.0,9.0,_,0.0,0.0,0.0,0.0,0.0,1.0,0.35,0.0,0.0,2.0,0.0,0.0,0.0,8.0,12.0,0.025,0.025,0.35,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:850℃  30分 空冷;退火:NaN,,,,,,,,
9,00Cr12Ni8Cu2AlNb,_,光滑,_,_,,060195,5.0,510.0,1.0,883.0,10.0,_,0.0,0.0,0.0,0.0,0.0,1.0,0.35,0.0,0.0,2.0,0.0,0.0,0.0,8.0,12.0,0.025,0.025,0.35,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:480℃  3h 空冷;淬火:NaN;正火:850℃  30分 空冷;退火:NaN,,,,,,,,
