Hm,Br,Hc,d_of_Bandwidth,Bandwidth,d_of_minRL,F_of_minRL,minRL,Class
104.3807,8.3956,91.1354,4.31,1.28,5,18,-12.0965,0
105.1939,8.9021,95.212,4.47,1.56,4.75,6,-11.8614,0
108.5581,8.9587,95.4309,4.29,1.8,5,18,-13.4618,0
106.4245,8.9247,92.6675,5,0.16,5,18,-10.4936,0
104.9634,9.318,100.7661,3.82,1.84,5,18,-16.6669,0
105.3461,9.4199,104.3502,3.91,1.88,5,18,-15.5082,0
105.5918,9.3067,97.5923,3.71,2,4.89,18,-20.804,0
104.0685,9.3067,99.015,3.63,2.28,5,17.76,-18.5942,0
101.8861,9.1822,98.6046,3.24,3.4,4.98,17.12,-57.6022,0
147.6271,5.9734,62.1067,5,0.4,5,18,-13.1241,0
146.1579,5.8376,60.8755,0,0,4.67,6.64,-8.7962,0
144.8268,6.3441,70.3146,4.28,0.92,5,18,-17.7841,0
145.7972,6.1205,66.7305,2.61,0.28,2.66,14.76,-10.583,0
143.7866,6.3667,69.6033,5,0.16,5,18,-10.4936,0
145.5103,6.3328,74.0082,4.99,0.08,5,18,-10.3726,0
146.2263,5.9847,63.8577,5,0.52,5,18,-15.6667,0
145.8515,6.3554,72.1751,5,0.4,5,18,-12.9088,0
140.8859,6.4346,73.4883,3.51,1.72,5,17.96,-19.6748,0
187.3217,3.1352,35.2668,5,1,5,18,-14.5407,0
188.0033,3.0334,33.0232,5,0.4,5,18,-11.7527,0
185.8617,3.1918,35.4583,0,0,5,18,-9.9096,0
186.5761,3.2484,33.844,0,0,5,18,-7.9794,0
177.9176,3.4295,41.4227,0,0,5,18,-8.7048,0
185.3982,3.2145,37.0178,5,0.68,5,18,-12.4248,0
184.4606,3.2598,37.0178,5,0.2,5,18,-10.9511,0
178.9894,3.4295,40.9029,5,0.24,5,18,-10.7852,0
182.3967,3.4295,42.0246,2.07,2.6,5,18,-13.6758,0
176.0792,4.4482,43.8668,1.89,4.64,5,18,-13.9129,1
176.6755,4.2855,45.269,2.1,5.76,2,15.68,-17.9595,1
171.523,4.3562,43.4906,5,1.32,5,18,-15.0066,1
168.8928,4.4977,45.1436,1.8,3.48,4.96,17.52,-13.5033,1
185.3565,2.882,34.1427,4.99,0.4,5,18,-11.8328,1
184.2331,3.1423,34.6557,0,0,5,18,-9.082,1
178.2477,3.2201,40.7547,5,1.24,5,18,-17.1732,1
177.3556,3.4522,41.1423,2.24,3.6,2.27,15,-23.6706,1
180.6386,2.9924,36.2403,5,0.6,5,18,-12.2271,1
176.5418,3.5512,39.2955,5,0.32,5,18,-11.3395,1
175.5435,3.8993,43.616,1.96,3.36,5,17.92,-12.8772,1
169.245,4.4595,48.3128,1.84,3.08,5,17.68,-14.5072,1
181.3874,3.1734,36.8787,4.99,0.12,5,18,-10.5824,1
175.7097,3.7408,37.2663,1.81,2.2,5,17.68,-14.634,1
176.6165,3.363,38.8509,2.22,5.16,2.64,10.72,-16.6905,1
172.7,3.82,43.7414,4.99,1.72,5,17.96,-17.8511,1
