index Bandwidth Hm Br Hc
0 3.4 101.8861 9.1822 98.6046
1 0.4 145.8515 6.3554 72.1751
2 0.08 145.5103 6.3328 74.0082
3 1.24 178.2477 3.2201 40.7547
4 0.16 143.7866 6.3667 69.6033
5 2.0 105.5918 9.3067 97.5923
6 5.16 176.6165 3.363 38.8509
7 0.0 186.5761 3.2484 33.844
8 3.6 177.3556 3.4522 41.1423
9 3.36 175.5435 3.8993 43.616
10 0.0 185.8617 3.1918 35.4583
11 2.6 182.3967 3.4295 42.0246
12 1.0 187.3217 3.1352 35.2668
13 0.0 146.1579 5.8376 60.8755
14 2.2 175.7097 3.7408 37.2663
15 0.4 185.3565 2.882 34.1427
16 1.8 108.5581 8.9587 95.4309
17 1.56 105.1939 8.9021 95.212
18 0.32 176.5418 3.5512 39.2955
19 1.72 140.8859 6.4346 73.4883
20 0.92 144.8268 6.3441 70.3146
21 1.84 104.9634 9.318 100.7661
22 0.4 147.6271 5.9734 62.1067
23 0.16 106.4245 8.9247 92.6675
24 0.24 178.9894 3.4295 40.9029
25 2.28 104.0685 9.3067 99.015
26 0.4 188.0033 3.0334 33.0232
27 0.2 184.4606 3.2598 37.0178
28 1.88 105.3461 9.4199 104.3502
29 0.68 185.3982 3.2145 37.0178
