index F_of_minRL Hm Br Hc
0 17.12 101.8861 9.1822 98.6046
1 18.0 145.8515 6.3554 72.1751
2 18.0 145.5103 6.3328 74.0082
3 18.0 178.2477 3.2201 40.7547
4 18.0 143.7866 6.3667 69.6033
5 18.0 105.5918 9.3067 97.5923
6 10.72 176.6165 3.363 38.8509
7 18.0 186.5761 3.2484 33.844
8 15.0 177.3556 3.4522 41.1423
9 17.92 175.5435 3.8993 43.616
10 18.0 185.8617 3.1918 35.4583
11 18.0 182.3967 3.4295 42.0246
12 18.0 187.3217 3.1352 35.2668
13 6.64 146.1579 5.8376 60.8755
14 17.68 175.7097 3.7408 37.2663
15 18.0 185.3565 2.882 34.1427
16 18.0 108.5581 8.9587 95.4309
17 6.0 105.1939 8.9021 95.212
18 18.0 176.5418 3.5512 39.2955
19 17.96 140.8859 6.4346 73.4883
20 18.0 144.8268 6.3441 70.3146
21 18.0 104.9634 9.318 100.7661
22 18.0 147.6271 5.9734 62.1067
23 18.0 106.4245 8.9247 92.6675
24 18.0 178.9894 3.4295 40.9029
25 17.76 104.0685 9.3067 99.015
26 18.0 188.0033 3.0334 33.0232
27 18.0 184.4606 3.2598 37.0178
28 18.0 105.3461 9.4199 104.3502
29 18.0 185.3982 3.2145 37.0178
