index d_of_Bandwidth Hm Br Hc
0 4.31 104.3807 8.3956 91.1354
1 4.47 105.1939 8.9021 95.212
2 4.29 108.5581 8.9587 95.4309
3 5.0 106.4245 8.9247 92.6675
4 3.82 104.9634 9.318 100.7661
5 3.91 105.3461 9.4199 104.3502
6 3.71 105.5918 9.3067 97.5923
7 3.63 104.0685 9.3067 99.015
8 3.24 101.8861 9.1822 98.6046
9 5.0 147.6271 5.9734 62.1067
10 0.0 146.1579 5.8376 60.8755
11 4.28 144.8268 6.3441 70.3146
12 2.61 145.7972 6.1205 66.7305
13 5.0 143.7866 6.3667 69.6033
14 4.99 145.5103 6.3328 74.0082
15 5.0 146.2263 5.9847 63.8577
16 5.0 145.8515 6.3554 72.1751
17 3.51 140.8859 6.4346 73.4883
18 5.0 187.3217 3.1352 35.2668
19 5.0 188.0033 3.0334 33.0232
20 0.0 185.8617 3.1918 35.4583
21 0.0 186.5761 3.2484 33.844
22 0.0 177.9176 3.4295 41.4227
23 5.0 185.3982 3.2145 37.0178
24 5.0 184.4606 3.2598 37.0178
25 5.0 178.9894 3.4295 40.9029
26 2.07 182.3967 3.4295 42.0246
27 1.89 176.0792 4.4482 43.8668
28 2.1 176.6755 4.2855 45.269
29 5.0 171.523 4.3562 43.4906
30 1.8 168.8928 4.4977 45.1436
31 4.99 185.3565 2.882 34.1427
32 0.0 184.2331 3.1423 34.6557
33 5.0 178.2477 3.2201 40.7547
34 2.24 177.3556 3.4522 41.1423
35 5.0 180.6386 2.9924 36.2403
36 5.0 176.5418 3.5512 39.2955
37 1.96 175.5435 3.8993 43.616
38 1.84 169.245 4.4595 48.3128
39 4.99 181.3874 3.1734 36.8787
40 1.81 175.7097 3.7408 37.2663
41 2.22 176.6165 3.363 38.8509
42 4.99 172.7 3.82 43.7414
