index d_of_Bandwidth Hm Br Hc
0 3.24 101.8861 9.1822 98.6046
1 5.0 145.8515 6.3554 72.1751
2 4.99 145.5103 6.3328 74.0082
3 5.0 178.2477 3.2201 40.7547
4 5.0 143.7866 6.3667 69.6033
5 3.71 105.5918 9.3067 97.5923
6 2.22 176.6165 3.363 38.8509
7 0.0 186.5761 3.2484 33.844
8 2.24 177.3556 3.4522 41.1423
9 1.96 175.5435 3.8993 43.616
10 0.0 185.8617 3.1918 35.4583
11 2.07 182.3967 3.4295 42.0246
12 5.0 187.3217 3.1352 35.2668
13 0.0 146.1579 5.8376 60.8755
14 1.81 175.7097 3.7408 37.2663
15 4.99 185.3565 2.882 34.1427
16 4.29 108.5581 8.9587 95.4309
17 4.47 105.1939 8.9021 95.212
18 5.0 176.5418 3.5512 39.2955
19 3.51 140.8859 6.4346 73.4883
20 4.28 144.8268 6.3441 70.3146
21 3.82 104.9634 9.318 100.7661
22 5.0 147.6271 5.9734 62.1067
23 5.0 106.4245 8.9247 92.6675
24 5.0 178.9894 3.4295 40.9029
25 3.63 104.0685 9.3067 99.015
26 5.0 188.0033 3.0334 33.0232
27 5.0 184.4606 3.2598 37.0178
28 3.91 105.3461 9.4199 104.3502
29 5.0 185.3982 3.2145 37.0178
