index minRL Hm Br Hc
0 -12.0965 104.3807 8.3956 91.1354
1 -11.8614 105.1939 8.9021 95.212
2 -13.4618 108.5581 8.9587 95.4309
3 -10.4936 106.4245 8.9247 92.6675
4 -16.6669 104.9634 9.318 100.7661
5 -15.5082 105.3461 9.4199 104.3502
6 -20.804 105.5918 9.3067 97.5923
7 -18.5942 104.0685 9.3067 99.015
8 -57.6022 101.8861 9.1822 98.6046
9 -13.1241 147.6271 5.9734 62.1067
10 -8.7962 146.1579 5.8376 60.8755
11 -17.7841 144.8268 6.3441 70.3146
12 -10.583 145.7972 6.1205 66.7305
13 -10.4936 143.7866 6.3667 69.6033
14 -10.3726 145.5103 6.3328 74.0082
15 -15.6667 146.2263 5.9847 63.8577
16 -12.9088 145.8515 6.3554 72.1751
17 -19.6748 140.8859 6.4346 73.4883
18 -14.5407 187.3217 3.1352 35.2668
19 -11.7527 188.0033 3.0334 33.0232
20 -9.9096 185.8617 3.1918 35.4583
21 -7.9794 186.5761 3.2484 33.844
22 -8.7048 177.9176 3.4295 41.4227
23 -12.4248 185.3982 3.2145 37.0178
24 -10.9511 184.4606 3.2598 37.0178
25 -10.7852 178.9894 3.4295 40.9029
26 -13.6758 182.3967 3.4295 42.0246
27 -13.9129 176.0792 4.4482 43.8668
28 -17.9595 176.6755 4.2855 45.269
29 -15.0066 171.523 4.3562 43.4906
30 -13.5033 168.8928 4.4977 45.1436
31 -11.8328 185.3565 2.882 34.1427
32 -9.082 184.2331 3.1423 34.6557
33 -17.1732 178.2477 3.2201 40.7547
34 -23.6706 177.3556 3.4522 41.1423
35 -12.2271 180.6386 2.9924 36.2403
36 -11.3395 176.5418 3.5512 39.2955
37 -12.8772 175.5435 3.8993 43.616
38 -14.5072 169.245 4.4595 48.3128
39 -10.5824 181.3874 3.1734 36.8787
40 -14.634 175.7097 3.7408 37.2663
41 -16.6905 176.6165 3.363 38.8509
42 -17.8511 172.7 3.82 43.7414
