index minRL Hm Br Hc
0 -57.6022 101.8861 9.1822 98.6046
1 -12.9088 145.8515 6.3554 72.1751
2 -10.3726 145.5103 6.3328 74.0082
3 -17.1732 178.2477 3.2201 40.7547
4 -10.4936 143.7866 6.3667 69.6033
5 -20.804 105.5918 9.3067 97.5923
6 -16.6905 176.6165 3.363 38.8509
7 -7.9794 186.5761 3.2484 33.844
8 -23.6706 177.3556 3.4522 41.1423
9 -12.8772 175.5435 3.8993 43.616
10 -9.9096 185.8617 3.1918 35.4583
11 -13.6758 182.3967 3.4295 42.0246
12 -14.5407 187.3217 3.1352 35.2668
13 -8.7962 146.1579 5.8376 60.8755
14 -14.634 175.7097 3.7408 37.2663
15 -11.8328 185.3565 2.882 34.1427
16 -13.4618 108.5581 8.9587 95.4309
17 -11.8614 105.1939 8.9021 95.212
18 -11.3395 176.5418 3.5512 39.2955
19 -19.6748 140.8859 6.4346 73.4883
20 -17.7841 144.8268 6.3441 70.3146
21 -16.6669 104.9634 9.318 100.7661
22 -13.1241 147.6271 5.9734 62.1067
23 -10.4936 106.4245 8.9247 92.6675
24 -10.7852 178.9894 3.4295 40.9029
25 -18.5942 104.0685 9.3067 99.015
26 -11.7527 188.0033 3.0334 33.0232
27 -10.9511 184.4606 3.2598 37.0178
28 -15.5082 105.3461 9.4199 104.3502
29 -12.4248 185.3982 3.2145 37.0178
