Hm,Br,Hc,d_of_Bandwidth,Bandwidth,d_of_minRL,F_of_minRL,minRL
104.3807,8.3956,91.1354,4.31,1.28,5,18,-12.0965
105.1939,8.9021,95.212,4.47,1.56,4.75,6,-11.8614
108.5581,8.9587,95.4309,4.29,1.8,5,18,-13.4618
106.4245,8.9247,92.6675,5,0.16,5,18,-10.4936
104.9634,9.318,100.7661,3.82,1.84,5,18,-16.6669
105.3461,9.4199,104.3502,3.91,1.88,5,18,-15.5082
105.5918,9.3067,97.5923,3.71,2,4.89,18,-20.804
104.0685,9.3067,99.015,3.63,2.28,5,17.76,-18.5942
101.8861,9.1822,98.6046,3.24,3.4,4.98,17.12,-57.6022
147.6271,5.9734,62.1067,5,0.4,5,18,-13.1241
146.1579,5.8376,60.8755,0,0,4.67,6.64,-8.7962
144.8268,6.3441,70.3146,4.28,0.92,5,18,-17.7841
145.7972,6.1205,66.7305,2.61,0.28,2.66,14.76,-10.583
143.7866,6.3667,69.6033,5,0.16,5,18,-10.4936
145.5103,6.3328,74.0082,4.99,0.08,5,18,-10.3726
146.2263,5.9847,63.8577,5,0.52,5,18,-15.6667
145.8515,6.3554,72.1751,5,0.4,5,18,-12.9088
140.8859,6.4346,73.4883,3.51,1.72,5,17.96,-19.6748
187.3217,3.1352,35.2668,5,1,5,18,-14.5407
188.0033,3.0334,33.0232,5,0.4,5,18,-11.7527
185.8617,3.1918,35.4583,0,0,5,18,-9.9096
186.5761,3.2484,33.844,0,0,5,18,-7.9794
177.9176,3.4295,41.4227,0,0,5,18,-8.7048
185.3982,3.2145,37.0178,5,0.68,5,18,-12.4248
184.4606,3.2598,37.0178,5,0.2,5,18,-10.9511
178.9894,3.4295,40.9029,5,0.24,5,18,-10.7852
182.3967,3.4295,42.0246,2.07,2.6,5,18,-13.6758
