index F_of_minRL Hm Br Hc
0 18.0 104.3807 8.3956 91.1354
1 6.0 105.1939 8.9021 95.212
2 18.0 108.5581 8.9587 95.4309
3 18.0 106.4245 8.9247 92.6675
4 18.0 104.9634 9.318 100.7661
5 18.0 105.3461 9.4199 104.3502
6 18.0 105.5918 9.3067 97.5923
7 17.76 104.0685 9.3067 99.015
8 17.12 101.8861 9.1822 98.6046
9 18.0 147.6271 5.9734 62.1067
10 6.64 146.1579 5.8376 60.8755
11 18.0 144.8268 6.3441 70.3146
12 14.76 145.7972 6.1205 66.7305
13 18.0 143.7866 6.3667 69.6033
14 18.0 145.5103 6.3328 74.0082
15 18.0 146.2263 5.9847 63.8577
16 18.0 145.8515 6.3554 72.1751
17 17.96 140.8859 6.4346 73.4883
18 18.0 187.3217 3.1352 35.2668
19 18.0 188.0033 3.0334 33.0232
20 18.0 185.8617 3.1918 35.4583
21 18.0 186.5761 3.2484 33.844
22 18.0 177.9176 3.4295 41.4227
23 18.0 185.3982 3.2145 37.0178
24 18.0 184.4606 3.2598 37.0178
25 18.0 178.9894 3.4295 40.9029
26 18.0 182.3967 3.4295 42.0246
