index d_of_minRL Hm Br Hc
0 5.0 104.3807 8.3956 91.1354
1 4.75 105.1939 8.9021 95.212
2 5.0 108.5581 8.9587 95.4309
3 5.0 106.4245 8.9247 92.6675
4 5.0 104.9634 9.318 100.7661
5 5.0 105.3461 9.4199 104.3502
6 4.89 105.5918 9.3067 97.5923
7 5.0 104.0685 9.3067 99.015
8 4.98 101.8861 9.1822 98.6046
9 5.0 147.6271 5.9734 62.1067
10 4.67 146.1579 5.8376 60.8755
11 5.0 144.8268 6.3441 70.3146
12 2.66 145.7972 6.1205 66.7305
13 5.0 143.7866 6.3667 69.6033
14 5.0 145.5103 6.3328 74.0082
15 5.0 146.2263 5.9847 63.8577
16 5.0 145.8515 6.3554 72.1751
17 5.0 140.8859 6.4346 73.4883
18 5.0 187.3217 3.1352 35.2668
19 5.0 188.0033 3.0334 33.0232
20 5.0 185.8617 3.1918 35.4583
21 5.0 186.5761 3.2484 33.844
22 5.0 177.9176 3.4295 41.4227
23 5.0 185.3982 3.2145 37.0178
24 5.0 184.4606 3.2598 37.0178
25 5.0 178.9894 3.4295 40.9029
26 5.0 182.3967 3.4295 42.0246
