index minRL Hm Br Hc
0 -12.0965 104.3807 8.3956 91.1354
1 -11.8614 105.1939 8.9021 95.212
2 -13.4618 108.5581 8.9587 95.4309
3 -10.4936 106.4245 8.9247 92.6675
4 -16.6669 104.9634 9.318 100.7661
5 -15.5082 105.3461 9.4199 104.3502
6 -20.804 105.5918 9.3067 97.5923
7 -18.5942 104.0685 9.3067 99.015
8 -57.6022 101.8861 9.1822 98.6046
9 -13.1241 147.6271 5.9734 62.1067
10 -8.7962 146.1579 5.8376 60.8755
11 -17.7841 144.8268 6.3441 70.3146
12 -10.583 145.7972 6.1205 66.7305
13 -10.4936 143.7866 6.3667 69.6033
14 -10.3726 145.5103 6.3328 74.0082
15 -15.6667 146.2263 5.9847 63.8577
16 -12.9088 145.8515 6.3554 72.1751
17 -19.6748 140.8859 6.4346 73.4883
18 -14.5407 187.3217 3.1352 35.2668
19 -11.7527 188.0033 3.0334 33.0232
20 -9.9096 185.8617 3.1918 35.4583
21 -7.9794 186.5761 3.2484 33.844
22 -8.7048 177.9176 3.4295 41.4227
23 -12.4248 185.3982 3.2145 37.0178
24 -10.9511 184.4606 3.2598 37.0178
25 -10.7852 178.9894 3.4295 40.9029
26 -13.6758 182.3967 3.4295 42.0246
