Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1280000000E+01    0.1607937869E+01   -0.3279378686E+00
    0.1560000000E+01    0.1744593979E+01   -0.1845939786E+00
    0.1800000000E+01    0.1632690002E+01    0.1673099985E+00
    0.1600000000E+00    0.1598201530E+01   -0.1438201530E+01
    0.1840000000E+01    0.2002548726E+01   -0.1625487257E+00
    0.1880000000E+01    0.2159425839E+01   -0.2794258392E+00
    0.2000000000E+01    0.1831046659E+01    0.1689533406E+00
    0.2280000000E+01    0.1960264138E+01    0.3197358625E+00
    0.3400000000E+01    0.2041593248E+01    0.1358406752E+01
    0.4000000000E+00    0.5437229110E+00   -0.1437229110E+00
    0.0000000000E+00    0.5397528663E+00   -0.5397528663E+00
    0.9200000000E+00    0.6157076296E+00    0.3042923704E+00
    0.2800000000E+00    0.5822868735E+00   -0.3022868735E+00
    0.1600000000E+00    0.6138866301E+00   -0.4538866301E+00
    0.8000000000E-01    0.6465424588E+00   -0.5665424588E+00
    0.5200000000E+00    0.5596114783E+00   -0.3961147834E-01
    0.4000000000E+00    0.6278354926E+00   -0.2278354926E+00
    0.1720000000E+01    0.6651800499E+00    0.1054819950E+01
    0.1000000000E+01    0.4216860282E+00    0.5783139718E+00
    0.4000000000E+00    0.4194290005E+00   -0.1942900054E-01
    0.0000000000E+00    0.4221728251E+00   -0.4221728251E+00
    0.0000000000E+00    0.4204176341E+00   -0.4204176341E+00
    0.0000000000E+00    0.4323922001E+00   -0.4323922001E+00
    0.6800000000E+00    0.4240027744E+00    0.2559972256E+00
    0.2000000000E+00    0.4242224129E+00   -0.2242224129E+00
    0.2400000000E+00    0.4311569383E+00   -0.1911569383E+00
    0.2600000000E+01    0.4316918092E+00    0.2168308191E+01
Prediction RMSE and MaxAE:         0.6732543371        2.1683081908
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1280000000E+01    0.1160966631E+01    0.1190333692E+00
    0.1560000000E+01    0.1585554511E+01   -0.2555451099E-01
    0.1800000000E+01    0.1484123060E+01    0.3158769404E+00
    0.1600000000E+00    0.1256443101E+01   -0.1096443101E+01
    0.1840000000E+01    0.2239033699E+01   -0.3990336988E+00
    0.1880000000E+01    0.2640750520E+01   -0.7607505201E+00
    0.2000000000E+01    0.1837032069E+01    0.1629679305E+00
    0.2280000000E+01    0.2085460924E+01    0.1945390756E+00
    0.3400000000E+01    0.2179335696E+01    0.1220664304E+01
    0.4000000000E+00    0.1717575444E+00    0.2282424556E+00
    0.0000000000E+00    0.3425235999E-02   -0.3425235999E-02
    0.9200000000E+00    0.5311674435E+00    0.3888325565E+00
    0.2800000000E+00    0.3596261009E+00   -0.7962610093E-01
    0.1600000000E+00    0.4266521361E+00   -0.2666521361E+00
    0.8000000000E-01    0.8027286882E+00   -0.7227286882E+00
    0.5200000000E+00    0.2008987708E+00    0.3191012292E+00
    0.4000000000E+00    0.7071167328E+00   -0.3071167328E+00
    0.1720000000E+01    0.5148147592E+00    0.1205185241E+01
    0.1000000000E+01    0.6362567062E+00    0.3637432938E+00
    0.4000000000E+00    0.4436226631E+00   -0.4362266312E-01
    0.0000000000E+00    0.5646682873E+00   -0.5646682873E+00
    0.0000000000E+00    0.4432251178E+00   -0.4432251178E+00
    0.0000000000E+00    0.6143415971E+00   -0.6143415971E+00
    0.6800000000E+00    0.6892244948E+00   -0.9224494780E-02
    0.2000000000E+00    0.6302876658E+00   -0.4302876658E+00
    0.2400000000E+00    0.6380791795E+00   -0.3980791795E+00
    0.2600000000E+01    0.9534067528E+00    0.1646593247E+01
Prediction RMSE and MaxAE:         0.6129096661        1.6465932472
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.1280000000E+01    0.1272049213E+01    0.7950786807E-02
    0.1560000000E+01    0.1660690444E+01   -0.1006904440E+00
    0.1800000000E+01    0.1318578271E+01    0.4814217289E+00
    0.1600000000E+00    0.1264275539E+01   -0.1104275539E+01
    0.1840000000E+01    0.2175301380E+01   -0.3353013801E+00
    0.1880000000E+01    0.2329157057E+01   -0.4491570572E+00
    0.2000000000E+01    0.1833753480E+01    0.1662465200E+00
    0.2280000000E+01    0.2175292171E+01    0.1047078294E+00
    0.3400000000E+01    0.2489813523E+01    0.9101864773E+00
    0.4000000000E+00    0.1308891164E+00    0.2691108836E+00
    0.0000000000E+00   -0.1971480792E+00    0.1971480792E+00
    0.9200000000E+00    0.5852016445E+00    0.3347983555E+00
    0.2800000000E+00    0.4023715008E+00   -0.1223715008E+00
    0.1600000000E+00    0.4389263070E+00   -0.2789263070E+00
    0.8000000000E-01    0.8392888114E+00   -0.7592888114E+00
    0.5200000000E+00    0.1670092420E+00    0.3529907580E+00
    0.4000000000E+00    0.7842314974E+00   -0.3842314974E+00
    0.1720000000E+01    0.4444515704E+00    0.1275548430E+01
    0.1000000000E+01    0.5877551592E+00    0.4122448408E+00
    0.4000000000E+00    0.6215240083E-02    0.3937847599E+00
    0.0000000000E+00    0.4271361333E+00   -0.4271361333E+00
    0.0000000000E+00    0.4993881963E-01   -0.4993881963E-01
    0.0000000000E+00    0.7931303424E+00   -0.7931303424E+00
    0.6800000000E+00    0.7907552058E+00   -0.1107552058E+00
    0.2000000000E+00    0.6542881242E+00   -0.4542881242E+00
    0.2400000000E+00    0.8280064886E+00   -0.5880064886E+00
    0.2600000000E+01    0.1548641865E+01    0.1051358135E+01
Prediction RMSE and MaxAE:         0.5525460477        1.2755484296
Predictions (y,pred,y-pred) by the model of dimension:     4
    0.1280000000E+01    0.1368553725E+01   -0.8855372503E-01
    0.1560000000E+01    0.1778142726E+01   -0.2181427261E+00
    0.1800000000E+01    0.1129858835E+01    0.6701411646E+00
    0.1600000000E+00    0.9255224498E+00   -0.7655224498E+00
    0.1840000000E+01    0.2229302520E+01   -0.3893025195E+00
    0.1880000000E+01    0.2461093681E+01   -0.5810936809E+00
    0.2000000000E+01    0.1483811042E+01    0.5161889584E+00
    0.2280000000E+01    0.2145876258E+01    0.1341237423E+00
    0.3400000000E+01    0.2884206917E+01    0.5157930833E+00
    0.4000000000E+00    0.3747501537E+00    0.2524984630E-01
    0.0000000000E+00   -0.3225246084E+00    0.3225246084E+00
    0.9200000000E+00    0.6644091665E+00    0.2555908335E+00
    0.2800000000E+00    0.5226564287E+00   -0.2426564287E+00
    0.1600000000E+00    0.5540806213E+00   -0.3940806213E+00
    0.8000000000E-01    0.7566645509E+00   -0.6766645509E+00
    0.5200000000E+00    0.2448627861E+00    0.2751372139E+00
    0.4000000000E+00    0.7523681589E+00   -0.3523681589E+00
    0.1720000000E+01    0.4751084084E+00    0.1244891592E+01
    0.1000000000E+01    0.9340605912E+00    0.6593940882E-01
    0.4000000000E+00    0.7519761054E-01    0.3248023895E+00
    0.0000000000E+00    0.4372636831E+00   -0.4372636831E+00
    0.0000000000E+00    0.1473115603E+00   -0.1473115603E+00
    0.0000000000E+00    0.2069995283E-01   -0.2069995283E-01
    0.6800000000E+00    0.9594880042E+00   -0.2794880042E+00
    0.2000000000E+00    0.6045768410E+00   -0.4045768410E+00
    0.2400000000E+00    0.2229691642E+00    0.1703083576E-01
    0.2600000000E+01    0.1969688718E+01    0.6303112816E+00
Prediction RMSE and MaxAE:         0.4588417106        1.2448915916
