Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1800000000E+02    0.1635457091E+02    0.1645429095E+01
    0.6000000000E+01    0.1623249566E+02   -0.1023249566E+02
    0.1800000000E+02    0.1621014764E+02    0.1789852359E+01
    0.1800000000E+02    0.1611726975E+02    0.1882730250E+01
    0.1800000000E+02    0.1622593630E+02    0.1774063697E+01
    0.1800000000E+02    0.1630793973E+02    0.1692060265E+01
    0.1800000000E+02    0.1611005950E+02    0.1889940497E+01
    0.1776000000E+02    0.1616475719E+02    0.1595242813E+01
    0.1712000000E+02    0.1621467481E+02    0.9053251911E+00
    0.1800000000E+02    0.1659079249E+02    0.1409207510E+01
    0.6640000000E+01    0.1663237076E+02   -0.9992370761E+01
    0.1800000000E+02    0.1677523344E+02    0.1224766559E+01
    0.1476000000E+02    0.1675307751E+02   -0.1993077506E+01
    0.1800000000E+02    0.1671360198E+02    0.1286398025E+01
    0.1800000000E+02    0.1700426349E+02    0.9957365078E+00
    0.1800000000E+02    0.1669327742E+02    0.1306722576E+01
    0.1800000000E+02    0.1687578862E+02    0.1124211383E+01
    0.1796000000E+02    0.1688382434E+02    0.1076175655E+01
    0.1800000000E+02    0.1793204853E+02    0.6795147072E-01
    0.1800000000E+02    0.1783924659E+02    0.1607534094E+00
    0.1800000000E+02    0.1783994148E+02    0.1600585177E+00
    0.1800000000E+02    0.1751481844E+02    0.4851815598E+00
    0.1800000000E+02    0.1811342288E+02   -0.1134228796E+00
    0.1800000000E+02    0.1799845002E+02    0.1549979800E-02
    0.1800000000E+02    0.1790542965E+02    0.9457035486E-01
    0.1800000000E+02    0.1805085950E+02   -0.5085949841E-01
    0.1800000000E+02    0.1818570146E+02   -0.1857014611E+00
Prediction RMSE and MaxAE:         2.9909632993       10.2324956647
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1800000000E+02    0.1431646290E+02    0.3683537105E+01
    0.6000000000E+01    0.1594044810E+02   -0.9940448104E+01
    0.1800000000E+02    0.1679926557E+02    0.1200734434E+01
    0.1800000000E+02    0.1534986650E+02    0.2650133501E+01
    0.1800000000E+02    0.1772411821E+02    0.2758817890E+00
    0.1800000000E+02    0.1893208191E+02   -0.9320819132E+00
    0.1800000000E+02    0.1683336513E+02    0.1166634870E+01
    0.1776000000E+02    0.1695431863E+02    0.8056813729E+00
    0.1712000000E+02    0.1632163844E+02    0.7983615551E+00
    0.1800000000E+02    0.1474971121E+02    0.3250288795E+01
    0.6640000000E+01    0.1377057589E+02   -0.7130575888E+01
    0.1800000000E+02    0.1716650614E+02    0.8334938562E+00
    0.1476000000E+02    0.1606724873E+02   -0.1307248732E+01
    0.1800000000E+02    0.1659774769E+02    0.1402252308E+01
    0.1800000000E+02    0.1871285696E+02   -0.7128569575E+00
    0.1800000000E+02    0.1504187470E+02    0.2958125296E+01
    0.1800000000E+02    0.1814669152E+02   -0.1466915218E+00
    0.1796000000E+02    0.1724382521E+02    0.7161747862E+00
    0.1800000000E+02    0.1859893801E+02   -0.5989380100E+00
    0.1800000000E+02    0.1819423051E+02   -0.1942305103E+00
