Predictions (y,pred,y-pred) by the model of dimension:     1
    0.4310000000E+01    0.4134202818E+01    0.1757971821E+00
    0.4470000000E+01    0.4178533764E+01    0.2914662357E+00
    0.4290000000E+01    0.4175568526E+01    0.1144314740E+00
    0.5000000000E+01    0.4085633368E+01    0.9143666318E+00
    0.3820000000E+01    0.4284926161E+01   -0.4649261612E+00
    0.3910000000E+01    0.4374824305E+01   -0.4648243047E+00
    0.3710000000E+01    0.4185835729E+01   -0.4758357290E+00
    0.3630000000E+01    0.4231978340E+01   -0.6019783404E+00
    0.3240000000E+01    0.4240166099E+01   -0.1000166099E+01
    0.5000000000E+01    0.3428919102E+01    0.1571080898E+01
    0.0000000000E+00    0.3404060439E+01   -0.3404060439E+01
    0.4280000000E+01    0.3769725391E+01    0.5102746088E+00
    0.2610000000E+01    0.3653506307E+01   -0.1043506307E+01
    0.5000000000E+01    0.3724654062E+01    0.1275345938E+01
    0.4990000000E+01    0.3954820959E+01    0.1035179041E+01
    0.5000000000E+01    0.3535374196E+01    0.1464625804E+01
    0.5000000000E+01    0.3860045411E+01    0.1139954589E+01
    0.3510000000E+01    0.3898317153E+01   -0.3883171533E+00
    0.5000000000E+01    0.3000292999E+01    0.1999707001E+01
    0.5000000000E+01    0.2834575301E+01    0.2165424699E+01
    0.0000000000E+00    0.2953562072E+01   -0.2953562072E+01
    0.0000000000E+00    0.2661213614E+01   -0.2661213614E+01
    0.0000000000E+00    0.3360152247E+01   -0.3360152247E+01
    0.5000000000E+01    0.3117719572E+01    0.1882280428E+01
    0.5000000000E+01    0.3064647814E+01    0.1935352186E+01
    0.5000000000E+01    0.3308340584E+01    0.1691659416E+01
    0.2070000000E+01    0.3418403669E+01   -0.1348403669E+01
Prediction RMSE and MaxAE:         1.6379488792        3.4040604387
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.4310000000E+01    0.2840901635E+01    0.1469098365E+01
    0.4470000000E+01    0.3540372479E+01    0.9296275210E+00
    0.4290000000E+01    0.4008484849E+01    0.2815151514E+00
    0.5000000000E+01    0.3630972600E+01    0.1369027400E+01
    0.3820000000E+01    0.4013893789E+01   -0.1938937892E+00
    0.3910000000E+01    0.4233786219E+01   -0.3237862190E+00
    0.3710000000E+01    0.3991147420E+01   -0.2811474198E+00
    0.3630000000E+01    0.3846292558E+01   -0.2162925584E+00
    0.3240000000E+01    0.3463739229E+01   -0.2237392287E+00
    0.5000000000E+01    0.3929196230E+01    0.1070803770E+01
    0.0000000000E+00    0.3469986719E+01   -0.3469986719E+01
    0.4280000000E+01    0.4601702671E+01   -0.3217026712E+00
    0.2610000000E+01    0.4216859213E+01   -0.1606859213E+01
    0.5000000000E+01    0.4465637767E+01    0.5343622331E+00
    0.4990000000E+01    0.4865304422E+01    0.1246955777E+00
    0.5000000000E+01    0.3898092217E+01    0.1101907783E+01
    0.5000000000E+01    0.4839246133E+01    0.1607538665E+00
    0.3510000000E+01    0.4414976781E+01   -0.9049767806E+00
    0.5000000000E+01    0.3241863456E+01    0.1758136544E+01
    0.5000000000E+01    0.3086635292E+01    0.1913364708E+01
