Predictions (y,pred,y-pred) by the model of dimension:     1
    0.5000000000E+01    0.4981283941E+01    0.1871605887E-01
    0.4750000000E+01    0.4934559176E+01   -0.1845591765E+00
    0.5000000000E+01    0.4886942311E+01    0.1130576893E+00
    0.5000000000E+01    0.4917033744E+01    0.8296625593E-01
    0.5000000000E+01    0.4909168844E+01    0.9083115577E-01
    0.5000000000E+01    0.4897328720E+01    0.1026712804E+00
    0.4890000000E+01    0.4901624005E+01   -0.1162400530E-01
    0.5000000000E+01    0.4921741250E+01    0.7825874987E-01
    0.4980000000E+01    0.4958686338E+01    0.2131366184E-01
    0.5000000000E+01    0.4734029294E+01    0.2659707063E+00
    0.4670000000E+01    0.4769473722E+01   -0.9947372200E-01
    0.5000000000E+01    0.4712036698E+01    0.2879633016E+00
    0.2660000000E+01    0.4732393706E+01   -0.2072393706E+01
    0.5000000000E+01    0.4720387032E+01    0.2796129682E+00
    0.5000000000E+01    0.4706096552E+01    0.2939034479E+00
    0.5000000000E+01    0.4747215405E+01    0.2527845945E+00
    0.5000000000E+01    0.4699292224E+01    0.3007077762E+00
    0.5000000000E+01    0.4743326901E+01    0.2566730987E+00
    0.5000000000E+01    0.5028884797E+01   -0.2888479671E-01
    0.5000000000E+01    0.5061013135E+01   -0.6101313519E-01
    0.5000000000E+01    0.5019074368E+01   -0.1907436802E-01
    0.5000000000E+01    0.4994750276E+01    0.5249723791E-02
    0.5000000000E+01    0.4997998982E+01    0.2001017978E-02
    0.5000000000E+01    0.5014480605E+01   -0.1448060480E-01
    0.5000000000E+01    0.5005680039E+01   -0.5680038590E-02
    0.5000000000E+01    0.4990179001E+01    0.9820999119E-02
    0.5000000000E+01    0.4965318932E+01    0.3468106792E-01
Prediction RMSE and MaxAE:         0.4272747299        2.0723937055
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.5000000000E+01    0.4916260633E+01    0.8373936673E-01
    0.4750000000E+01    0.4936678319E+01   -0.1866783191E+00
    0.5000000000E+01    0.4934303466E+01    0.6569653397E-01
    0.5000000000E+01    0.4881585284E+01    0.1184147165E+00
    0.5000000000E+01    0.4995148013E+01    0.4851987322E-02
    0.5000000000E+01    0.5047074714E+01   -0.4707471353E-01
    0.4890000000E+01    0.4936969448E+01   -0.4696944834E-01
    0.5000000000E+01    0.4964036463E+01    0.3596353650E-01
    0.4980000000E+01    0.4970200192E+01    0.9799807771E-02
    0.5000000000E+01    0.4576414452E+01    0.4235855479E+00
    0.4670000000E+01    0.4571608651E+01    0.9839134872E-01
    0.5000000000E+01    0.4746105478E+01    0.2538945220E+00
    0.2660000000E+01    0.4689817084E+01   -0.2029817084E+01
    0.5000000000E+01    0.4719142958E+01    0.2808570423E+00
    0.5000000000E+01    0.4857507373E+01    0.1424926269E+00
    0.5000000000E+01    0.4631967283E+01    0.3680327174E+00
    0.5000000000E+01    0.4798941203E+01    0.2010587967E+00
    0.5000000000E+01    0.4818731424E+01    0.1812685765E+00
    0.5000000000E+01    0.5034786940E+01   -0.3478693961E-01
    0.5000000000E+01    0.5067036197E+01   -0.6703619701E-01
    0.5000000000E+01    0.4987158200E+01    0.1284180039E-01
    0.5000000000E+01    0.4883422761E+01    0.1165772387E+00
    0.5000000000E+01    0.4994833939E+01    0.5166061378E-02
    0.5000000000E+01    0.5019313211E+01   -0.1931321143E-01
    0.5000000000E+01    0.4978069379E+01    0.2193062074E-01
    0.5000000000E+01    0.4975200187E+01    0.2479981279E-01
    0.5000000000E+01    0.5017686706E+01   -0.1768670584E-01
Prediction RMSE and MaxAE:         0.4202707746        2.0298170840
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.5000000000E+01    0.4881226968E+01    0.1187730316E+00
    0.4750000000E+01    0.4911340426E+01   -0.1613404259E+00
    0.5000000000E+01    0.4913038434E+01    0.8696156629E-01
    0.5000000000E+01    0.4940427406E+01    0.5957259389E-01
    0.5000000000E+01    0.4990403730E+01    0.9596270242E-02
    0.5000000000E+01    0.5146450566E+01   -0.1464505656E+00
    0.4890000000E+01    0.4951238039E+01   -0.6123803873E-01
    0.5000000000E+01    0.4949488750E+01    0.5051124980E-01
    0.4980000000E+01    0.4952077137E+01    0.2792286283E-01
    0.5000000000E+01    0.4679994328E+01    0.3200056716E+00
