Predictions (y,pred,y-pred) by the model of dimension:     1
   -0.1209650000E+02   -0.1968259443E+02    0.7586094425E+01
   -0.1186140000E+02   -0.1996519990E+02    0.8103799903E+01
   -0.1346180000E+02   -0.1933014968E+02    0.5868349680E+01
   -0.1049360000E+02   -0.1940733858E+02    0.8913738580E+01
   -0.1666690000E+02   -0.2065316148E+02    0.3986261477E+01
   -0.1550820000E+02   -0.2100159669E+02    0.5493396686E+01
   -0.2080400000E+02   -0.2012806504E+02   -0.6759349613E+00
   -0.1859420000E+02   -0.2062942252E+02    0.2035222517E+01
   -0.5760220000E+02   -0.2108439293E+02   -0.3651780707E+02
   -0.1312410000E+02   -0.1278688678E+02   -0.3372132164E+00
   -0.8796200000E+01   -0.1278793712E+02    0.3991737120E+01
   -0.1778410000E+02   -0.1343849779E+02   -0.4345602207E+01
   -0.1058300000E+02   -0.1316566764E+02    0.2582667638E+01
   -0.1049360000E+02   -0.1345057535E+02    0.2956975349E+01
   -0.1037260000E+02   -0.1363965748E+02    0.3267057480E+01
   -0.1566670000E+02   -0.1296681853E+02   -0.2699881465E+01
   -0.1290880000E+02   -0.1349926585E+02    0.5904658491E+00
   -0.1967480000E+02   -0.1388967057E+02   -0.5785129435E+01
   -0.1454070000E+02   -0.1050597112E+02   -0.4034728881E+01
   -0.1175270000E+02   -0.1041359932E+02   -0.1339100684E+01
   -0.9909600000E+01   -0.1053118269E+02    0.6215826907E+00
   -0.7979400000E+01   -0.1045541707E+02    0.2476017067E+01
   -0.8704800000E+01   -0.1089694439E+02    0.2192144389E+01
   -0.1242480000E+02   -0.1059904367E+02   -0.1825756325E+01
   -0.1095110000E+02   -0.1061098664E+02   -0.3401133642E+00
   -0.1078520000E+02   -0.1085495776E+02    0.6975775851E-01
   -0.1367580000E+02   -0.1084179905E+02   -0.2834000948E+01
Prediction RMSE and MaxAE:         8.0836713662       36.5178070674
Predictions (y,pred,y-pred) by the model of dimension:     2
   -0.1209650000E+02   -0.2510537817E+02    0.1300887817E+02
   -0.1186140000E+02   -0.2121347536E+02    0.9352075358E+01
   -0.1346180000E+02   -0.1657587212E+02    0.3114072120E+01
   -0.1049360000E+02   -0.1743579303E+02    0.6942193035E+01
   -0.1666690000E+02   -0.2021858488E+02    0.3551684882E+01
   -0.1550820000E+02   -0.2103023529E+02    0.5522035286E+01
   -0.2080400000E+02   -0.1702311512E+02   -0.3780884879E+01
   -0.1859420000E+02   -0.2024375493E+02    0.1649554934E+01
   -0.5760220000E+02   -0.2455272354E+02   -0.3304947646E+02
   -0.1312410000E+02   -0.9969960270E+01   -0.3154139730E+01
   -0.8796200000E+01   -0.1106614645E+02    0.2269946454E+01
   -0.1778410000E+02   -0.1225188584E+02   -0.5532214164E+01
   -0.1058300000E+02   -0.1218138382E+02    0.1598383816E+01
   -0.1049360000E+02   -0.1171150039E+02    0.1217900388E+01
   -0.1037260000E+02   -0.1509296235E+02    0.4720362353E+01
   -0.1566670000E+02   -0.1156594470E+02   -0.4100755302E+01
   -0.1290880000E+02   -0.1322884442E+02    0.3200444164E+00
   -0.1967480000E+02   -0.1478298817E+02   -0.4891811827E+01
   -0.1454070000E+02   -0.1032653668E+02   -0.4214163321E+01
   -0.1175270000E+02   -0.9078721997E+01   -0.2673978003E+01
   -0.9909600000E+01   -0.1021424263E+02    0.3046426282E+00
   -0.7979400000E+01   -0.8608499124E+01    0.6290991242E+00
   -0.8704800000E+01   -0.1382158675E+02    0.5116786747E+01
   -0.1242480000E+02   -0.1132761065E+02   -0.1097189353E+01
   -0.1095110000E+02   -0.1110512517E+02    0.1540251712E+00
   -0.1078520000E+02   -0.1337016377E+02    0.2584963765E+01
   -0.1367580000E+02   -0.1411376240E+02    0.4379623957E+00
Prediction RMSE and MaxAE:         7.7925199249       33.0494764617
Predictions (y,pred,y-pred) by the model of dimension:     3
   -0.1209650000E+02   -0.2350092152E+02    0.1140442152E+02
   -0.1186140000E+02   -0.1811499415E+02    0.6253594148E+01
   -0.1346180000E+02   -0.1750016307E+01   -0.1171178369E+02
   -0.1049360000E+02   -0.1109540673E+02    0.6018067335E+00
   -0.1666690000E+02   -0.1957841686E+02    0.2911516860E+01
   -0.1550820000E+02   -0.1717527753E+02    0.1667077535E+01
   -0.2080400000E+02   -0.1570201552E+02   -0.5101984479E+01
   -0.1859420000E+02   -0.2573873517E+02    0.7144535173E+01
   -0.5760220000E+02   -0.4430464265E+02   -0.1329755735E+02
   -0.1312410000E+02   -0.1445882438E+02    0.1334724385E+01
   -0.8796200000E+01   -0.1391032984E+02    0.5114129845E+01
   -0.1778410000E+02   -0.1330208605E+02   -0.4482013947E+01
   -0.1058300000E+02   -0.1375606314E+02    0.3173063137E+01
   -0.1049360000E+02   -0.1275185982E+02    0.2258259821E+01
   -0.1037260000E+02   -0.1362777399E+02    0.3255173991E+01
   -0.1566670000E+02   -0.1393870442E+02   -0.1727995578E+01
   -0.1290880000E+02   -0.1377978590E+02    0.8709859032E+00
   -0.1967480000E+02   -0.1086847692E+02   -0.8806323076E+01
   -0.1454070000E+02   -0.1183176766E+02   -0.2708932339E+01
   -0.1175270000E+02   -0.1215585386E+02    0.4031538638E+00
   -0.9909600000E+01   -0.1124995120E+02    0.1340351199E+01
   -0.7979400000E+01   -0.1151591261E+02    0.3536512615E+01
   -0.8704800000E+01   -0.1034660785E+02    0.1641807849E+01
   -0.1242480000E+02   -0.1109601619E+02   -0.1328783811E+01
   -0.1095110000E+02   -0.1082788393E+02   -0.1232160673E+00
   -0.1078520000E+02   -0.1028079105E+02   -0.5044089483E+00
   -0.1367580000E+02   -0.1042955788E+02   -0.3246242123E+01
