Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1280000000E+01    0.1771633209E+01   -0.4916332090E+00
    0.1560000000E+01    0.1754064641E+01   -0.1940646405E+00
    0.1800000000E+01    0.1488667704E+01    0.3113322959E+00
    0.1600000000E+00    0.1240565683E+01   -0.1080565683E+01
    0.1840000000E+01    0.2114302130E+01   -0.2743021304E+00
    0.1880000000E+01    0.2393168058E+01   -0.5131680583E+00
    0.2000000000E+01    0.1597141711E+01    0.4028582890E+00
    0.2280000000E+01    0.1982157561E+01    0.2978424385E+00
    0.3400000000E+01    0.2195541143E+01    0.1204458857E+01
    0.4000000000E+00    0.1595832862E+00    0.2404167138E+00
    0.0000000000E+00    0.2301816347E+00   -0.2301816347E+00
    0.9200000000E+00    0.6710591140E+00    0.2489408860E+00
    0.2800000000E+00    0.5498804223E+00   -0.2698804223E+00
    0.1600000000E+00    0.5881149480E+00   -0.4281149480E+00
    0.8000000000E-01    0.9967390311E+00   -0.9167390311E+00
    0.5200000000E+00    0.3931159275E+00    0.1268840725E+00
    0.4000000000E+00    0.8179645926E+00   -0.4179645926E+00
    0.1720000000E+01    0.9346600990E+00    0.7853399010E+00
    0.1000000000E+01    0.3580752612E+00    0.6419247388E+00
    0.4000000000E+00    0.1977701374E+00    0.2022298626E+00
    0.0000000000E+00    0.3116475630E+00   -0.3116475630E+00
    0.0000000000E+00   -0.2109362537E-01    0.2109362537E-01
    0.0000000000E+00    0.7346987937E+00   -0.7346987937E+00
    0.6800000000E+00    0.4778531241E+00    0.2021468759E+00
    0.2000000000E+00    0.4239174207E+00   -0.2239174207E+00
    0.2400000000E+00    0.6773239447E+00   -0.4373239447E+00
    0.2600000000E+01    0.7612664974E+00    0.1838733503E+01
Prediction RMSE and MaxAE:         0.6210675124        1.8387335026
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1280000000E+01    0.1314139052E+01   -0.3413905171E-01
    0.1560000000E+01    0.1528069260E+01    0.3193074001E-01
    0.1800000000E+01    0.1214878662E+01    0.5851213376E+00
    0.1600000000E+00    0.8475479475E+00   -0.6875479475E+00
    0.1840000000E+01    0.2681615434E+01   -0.8416154343E+00
    0.1880000000E+01    0.2104636830E+01   -0.2246368300E+00
    0.2000000000E+01    0.1719762789E+01    0.2802372114E+00
    0.2280000000E+01    0.2318119924E+01   -0.3811992390E-01
    0.3400000000E+01    0.2508865984E+01    0.8911340156E+00
    0.4000000000E+00    0.6406953831E-01    0.3359304617E+00
    0.0000000000E+00    0.7768033760E-01   -0.7768033760E-01
    0.9200000000E+00    0.5276238036E+00    0.3923761964E+00
    0.2800000000E+00    0.3964359398E+00   -0.1164359398E+00
    0.1600000000E+00    0.4355591611E+00   -0.2755591611E+00
    0.8000000000E-01    0.9125200279E+00   -0.8325200279E+00
    0.5200000000E+00    0.2394588890E+00    0.2805411110E+00
    0.4000000000E+00    0.6996462802E+00   -0.2996462802E+00
    0.1720000000E+01    0.7725287275E+00    0.9474712725E+00
    0.1000000000E+01    0.5562068717E+00    0.4437931283E+00
    0.4000000000E+00    0.3875803455E+00    0.1241965452E-01
    0.0000000000E+00    0.4370778799E+00   -0.4370778799E+00
    0.0000000000E+00   -0.2484275076E-01    0.2484275076E-01
    0.0000000000E+00    0.9416579998E+00   -0.9416579998E+00
    0.6800000000E+00    0.6825048622E+00   -0.2504862172E-02
    0.2000000000E+00    0.5597468318E+00   -0.3597468318E+00
    0.2400000000E+00    0.8476882485E+00   -0.6076882485E+00
    0.2600000000E+01    0.1049221088E+01    0.1550778912E+01
Prediction RMSE and MaxAE:         0.5693036229        1.5507789120
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.1280000000E+01    0.1334178861E+01   -0.5417886142E-01
    0.1560000000E+01    0.1619787167E+01   -0.5978716684E-01
    0.1800000000E+01    0.1218883604E+01    0.5811163958E+00
    0.1600000000E+00    0.1308174592E+01   -0.1148174592E+01
    0.1840000000E+01    0.2136729108E+01   -0.2967291077E+00
    0.1880000000E+01    0.2371535730E+01   -0.4915357298E+00
    0.2000000000E+01    0.1790000699E+01    0.2099993007E+00
    0.2280000000E+01    0.2175015110E+01    0.1049848900E+00
    0.3400000000E+01    0.2611279150E+01    0.7887208501E+00
    0.4000000000E+00    0.1875348889E+00    0.2124651111E+00
    0.0000000000E+00    0.1330698415E+00   -0.1330698415E+00
    0.9200000000E+00    0.4649445459E+00    0.4550554541E+00
    0.2800000000E+00    0.3354040101E+00   -0.5540401009E-01
    0.1600000000E+00    0.3849077585E+00   -0.2249077585E+00
    0.8000000000E-01    0.9305380707E+00   -0.8505380707E+00
    0.5200000000E+00    0.2277069092E+00    0.2922930908E+00
    0.4000000000E+00    0.6560241224E+00   -0.2560241224E+00
    0.1720000000E+01    0.6082450673E+00    0.1111754933E+01
    0.1000000000E+01    0.7628976565E+00    0.2371023435E+00
    0.4000000000E+00    0.3658691029E+00    0.3413089710E-01
    0.0000000000E+00    0.3088271975E+00   -0.3088271975E+00
    0.0000000000E+00   -0.4395338256E-01    0.4395338256E-01
    0.0000000000E+00    0.2058967393E-01   -0.2058967393E-01
    0.6800000000E+00    0.8817863001E+00   -0.2017863001E+00
    0.2000000000E+00    0.4112413536E+00   -0.2112413536E+00
    0.2400000000E+00    0.1377017717E+00    0.1022982283E+00
    0.2600000000E+01    0.2461081060E+01    0.1389189402E+00
Prediction RMSE and MaxAE:         0.4461174240        1.1481745915
