Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1800000000E+02    0.1333773669E+02    0.4662263311E+01
    0.6000000000E+01    0.1567016775E+02   -0.9670167746E+01
    0.1800000000E+02    0.1713898244E+02    0.8610175577E+00
    0.1800000000E+02    0.1604997672E+02    0.1950023278E+01
    0.1800000000E+02    0.1742734952E+02    0.5726504805E+00
    0.1800000000E+02    0.1815284149E+02   -0.1528414906E+00
    0.1800000000E+02    0.1744649028E+02    0.5535097234E+00
    0.1776000000E+02    0.1694238437E+02    0.8176156279E+00
    0.1712000000E+02    0.1563043370E+02    0.1489566304E+01
    0.1800000000E+02    0.1560911401E+02    0.2390885993E+01
    0.6640000000E+01    0.1463849816E+02   -0.7998498162E+01
    0.1800000000E+02    0.1724622379E+02    0.7537762094E+00
    0.1476000000E+02    0.1631395817E+02   -0.1553958173E+01
    0.1800000000E+02    0.1690539866E+02    0.1094601340E+01
    0.1800000000E+02    0.1799367718E+02    0.6322818456E-02
    0.1800000000E+02    0.1557453921E+02    0.2425460786E+01
    0.1800000000E+02    0.1786236807E+02    0.1376319282E+00
    0.1796000000E+02    0.1686252006E+02    0.1097479938E+01
    0.1800000000E+02    0.1836883588E+02   -0.3688358751E+00
    0.1800000000E+02    0.1773488965E+02    0.2651103455E+00
    0.1800000000E+02    0.1764501303E+02    0.3549869736E+00
    0.1800000000E+02    0.1612176340E+02    0.1878236601E+01
    0.1800000000E+02    0.1793982840E+02    0.6017159700E-01
    0.1800000000E+02    0.1850469311E+02   -0.5046931143E+00
    0.1800000000E+02    0.1787700391E+02    0.1229960906E+00
    0.1800000000E+02    0.1786029997E+02    0.1397000320E+00
    0.1800000000E+02    0.1938501225E+02   -0.1385012251E+01
Prediction RMSE and MaxAE:         2.7914474638        9.6701677465
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1800000000E+02    0.1244853735E+02    0.5551462654E+01
    0.6000000000E+01    0.1019888474E+02   -0.4198884739E+01
    0.1800000000E+02    0.1625666160E+02    0.1743338400E+01
    0.1800000000E+02    0.1652073788E+02    0.1479262118E+01
    0.1800000000E+02    0.1800196071E+02   -0.1960711587E-02
    0.1800000000E+02    0.1824322682E+02   -0.2432268229E+00
    0.1800000000E+02    0.1846542035E+02   -0.4654203546E+00
    0.1776000000E+02    0.1821541972E+02   -0.4554197152E+00
    0.1712000000E+02    0.1730474718E+02   -0.1847471806E+00
    0.1800000000E+02    0.1605067535E+02    0.1949324654E+01
    0.6640000000E+01    0.1620393239E+02   -0.9563932393E+01
    0.1800000000E+02    0.1656429830E+02    0.1435701696E+01
    0.1476000000E+02    0.1654490312E+02   -0.1784903116E+01
    0.1800000000E+02    0.1635227538E+02    0.1647724620E+01
    0.1800000000E+02    0.1732271083E+02    0.6772891732E+00
    0.1800000000E+02    0.1637630672E+02    0.1623693275E+01
    0.1800000000E+02    0.1689443684E+02    0.1105563160E+01
    0.1796000000E+02    0.1689953128E+02    0.1060468723E+01
    0.1800000000E+02    0.1800172115E+02   -0.1721152619E-02
    0.1800000000E+02    0.1770527757E+02    0.2947224339E+00
    0.1800000000E+02    0.1789256083E+02    0.1074391707E+00
    0.1800000000E+02    0.1731893152E+02    0.6810684763E+00
    0.1800000000E+02    0.1870554894E+02   -0.7055489439E+00
    0.1800000000E+02    0.1822378941E+02   -0.2237894090E+00
    0.1800000000E+02    0.1809738006E+02   -0.9738005791E-01
    0.1800000000E+02    0.1858034343E+02   -0.5803434295E+00
    0.1800000000E+02    0.1884978091E+02   -0.8497809121E+00
Prediction RMSE and MaxAE:         2.4724064904        9.5639323929
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.1800000000E+02    0.1807364312E+02   -0.7364312283E-01
    0.6000000000E+01    0.5984085214E+01    0.1591478623E-01
    0.1800000000E+02    0.1839840365E+02   -0.3984036496E+00
    0.1800000000E+02    0.1786984258E+02    0.1301574175E+00
    0.1800000000E+02    0.1797922142E+02    0.2077858473E-01
    0.1800000000E+02    0.1904952031E+02   -0.1049520307E+01
    0.1800000000E+02    0.1656083590E+02    0.1439164099E+01
    0.1776000000E+02    0.1727135069E+02    0.4886493093E+00
    0.1712000000E+02    0.1791237735E+02   -0.7923773468E+00
    0.1800000000E+02    0.1457844595E+02    0.3421554049E+01
    0.6640000000E+01    0.1430690958E+02   -0.7666909575E+01
    0.1800000000E+02    0.1715949845E+02    0.8405015455E+00
    0.1476000000E+02    0.1605484621E+02   -0.1294846211E+01
    0.1800000000E+02    0.1691449984E+02    0.1085500161E+01
    0.1800000000E+02    0.1844891461E+02   -0.4489146137E+00
    0.1800000000E+02    0.1517885302E+02    0.2821146976E+01
    0.1800000000E+02    0.1779296497E+02    0.2070350260E+00
    0.1796000000E+02    0.1821350582E+02   -0.2535058234E+00
    0.1800000000E+02    0.1827411851E+02   -0.2741185062E+00
    0.1800000000E+02    0.1820196821E+02   -0.2019682079E+00
    0.1800000000E+02    0.1762967883E+02    0.3703211702E+00
    0.1800000000E+02    0.1590602576E+02    0.2093974242E+01
    0.1800000000E+02    0.1813863455E+02   -0.1386345501E+00
    0.1800000000E+02    0.1831600831E+02   -0.3160083131E+00
    0.1800000000E+02    0.1769711375E+02    0.3028862505E+00
    0.1800000000E+02    0.1781124903E+02    0.1887509747E+00
    0.1800000000E+02    0.1851748394E+02   -0.5174839392E+00
Prediction RMSE and MaxAE:         1.8428095939        7.6669095753
