Predictions (y,pred,y-pred) by the model of dimension:     1
    0.4310000000E+01    0.3806727432E+01    0.5032725676E+00
    0.4470000000E+01    0.3748114824E+01    0.7218851756E+00
    0.4290000000E+01    0.3817168528E+01    0.4728314718E+00
    0.5000000000E+01    0.3922160985E+01    0.1077839015E+01
    0.3820000000E+01    0.3538493121E+01    0.2815068789E+00
    0.3910000000E+01    0.3388657200E+01    0.5213428000E+00
    0.3710000000E+01    0.3711645262E+01   -0.1645261901E-02
    0.3630000000E+01    0.3607234452E+01    0.2276554753E-01
    0.3240000000E+01    0.3560900217E+01   -0.3209002172E+00
    0.5000000000E+01    0.4281492275E+01    0.7185077248E+00
    0.0000000000E+00    0.4020071266E+01   -0.4020071266E+01
    0.4280000000E+01    0.4073681871E+01    0.2063181287E+00
    0.2610000000E+01    0.3985043992E+01   -0.1375043992E+01
    0.5000000000E+01    0.4197806210E+01    0.8021937899E+00
    0.4990000000E+01    0.3606906184E+01    0.1383093816E+01
    0.5000000000E+01    0.4015446578E+01    0.9845534218E+00
    0.5000000000E+01    0.3889201595E+01    0.1110798405E+01
    0.3510000000E+01    0.3835268098E+01   -0.3252680975E+00
    0.5000000000E+01    0.4812713703E+01    0.1872862969E+00
    0.5000000000E+01    0.5158931859E+01   -0.1589318586E+00
    0.0000000000E+00    0.3397167817E+01   -0.3397167817E+01
    0.0000000000E+00    0.6622636514E-01   -0.6622636514E-01
    0.0000000000E+00    0.2924937864E+01   -0.2924937864E+01
    0.5000000000E+01    0.4465685170E+01    0.5343148299E+00
    0.5000000000E+01    0.3188306101E+01    0.1811693899E+01
    0.5000000000E+01    0.2446206651E+01    0.2553793349E+01
    0.2070000000E+01    0.3373804336E+01   -0.1303804336E+01
Prediction RMSE and MaxAE:         1.4661678012        4.0200712663
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.4310000000E+01    0.3673604414E+01    0.6363955856E+00
    0.4470000000E+01    0.3921943888E+01    0.5480561118E+00
    0.4290000000E+01    0.4136123901E+01    0.1538760987E+00
    0.5000000000E+01    0.4030553626E+01    0.9694463735E+00
    0.3820000000E+01    0.4030507604E+01   -0.2105076039E+00
    0.3910000000E+01    0.4059477449E+01   -0.1494774486E+00
    0.3710000000E+01    0.4093338417E+01   -0.3833384171E+00
    0.3630000000E+01    0.3991296578E+01   -0.3612965781E+00
    0.3240000000E+01    0.3819313125E+01   -0.5793131250E+00
    0.5000000000E+01    0.3975464951E+01    0.1024535049E+01
    0.0000000000E+00    0.3712480478E+01   -0.3712480478E+01
    0.4280000000E+01    0.4142245384E+01    0.1377546160E+00
    0.2610000000E+01    0.3948956227E+01   -0.1338956227E+01
    0.5000000000E+01    0.4165311814E+01    0.8346881857E+00
    0.4990000000E+01    0.3993235486E+01    0.9967645143E+00
    0.5000000000E+01    0.3850420103E+01    0.1149579897E+01
    0.5000000000E+01    0.4125628927E+01    0.8743710728E+00
    0.3510000000E+01    0.3993113796E+01   -0.4831137957E+00
    0.5000000000E+01    0.5120194714E+01   -0.1201947137E+00
    0.5000000000E+01    0.5795792289E+01   -0.7957922888E+00
    0.0000000000E+00    0.5431798630E+00   -0.5431798630E+00
    0.0000000000E+00    0.1838512336E+01   -0.1838512336E+01
    0.0000000000E+00    0.2104587519E+01   -0.2104587519E+01
    0.5000000000E+01    0.4935184837E+01    0.6481516285E-01
    0.5000000000E+01    0.2503934957E+01    0.2496065043E+01
    0.5000000000E+01    0.1971351801E+01    0.3028648199E+01
    0.2070000000E+01    0.2364245525E+01   -0.2942455247E+00
Prediction RMSE and MaxAE:         1.3228518990        3.7124804775
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.4310000000E+01    0.4109642408E+01    0.2003575922E+00
    0.4470000000E+01    0.4129836329E+01    0.3401636705E+00
    0.4290000000E+01    0.4130990784E+01    0.1590092156E+00
    0.5000000000E+01    0.3953813265E+01    0.1046186735E+01
    0.3820000000E+01    0.4270212913E+01   -0.4502129131E+00
    0.3910000000E+01    0.4412067549E+01   -0.5020675490E+00
    0.3710000000E+01    0.4096736853E+01   -0.3867368527E+00
    0.3630000000E+01    0.4174613794E+01   -0.5446137945E+00
    0.3240000000E+01    0.4195208828E+01   -0.9552088283E+00
    0.5000000000E+01    0.3202186672E+01    0.1797813328E+01
    0.0000000000E+00    0.3151230351E+01   -0.3151230351E+01
    0.4280000000E+01    0.4065706450E+01    0.2142935502E+00
    0.2610000000E+01    0.3837878228E+01   -0.1227878228E+01
    0.5000000000E+01    0.3921556739E+01    0.1078443261E+01
    0.4990000000E+01    0.4549685905E+01    0.4403140951E+00
    0.5000000000E+01    0.3534175651E+01    0.1465824349E+01
    0.5000000000E+01    0.4310207039E+01    0.6897929605E+00
    0.3510000000E+01    0.4325416275E+01   -0.8154162747E+00
    0.5000000000E+01    0.4248800490E+01    0.7511995101E+00
    0.5000000000E+01    0.5822462205E+01   -0.8224622052E+00
    0.0000000000E+00    0.3012271711E+00   -0.3012271711E+00
    0.0000000000E+00   -0.4542111149E+00    0.4542111149E+00
    0.0000000000E+00    0.1277005604E+01   -0.1277005604E+01
    0.5000000000E+01    0.5389974741E+01   -0.3899747413E+00
    0.5000000000E+01    0.4467312827E+01    0.5326871731E+00
    0.5000000000E+01    0.3151026140E+01    0.1848973860E+01
    0.2070000000E+01    0.2265233505E+01   -0.1952335053E+00
Prediction RMSE and MaxAE:         1.0454922583        3.1512303512
