Predictions (y,pred,y-pred) by the model of dimension:     1
    0.5000000000E+01    0.4914080333E+01    0.8591966697E-01
    0.4750000000E+01    0.4937064344E+01   -0.1870643443E+00
    0.5000000000E+01    0.4929321245E+01    0.7067875548E-01
    0.5000000000E+01    0.4893944072E+01    0.1060559282E+00
    0.5000000000E+01    0.4989994602E+01    0.1000539848E-01
    0.5000000000E+01    0.5033638856E+01   -0.3363885629E-01
    0.4890000000E+01    0.4942685758E+01   -0.5268575754E-01
    0.5000000000E+01    0.4966983119E+01    0.3301688062E-01
    0.4980000000E+01    0.4974512731E+01    0.5487269372E-02
    0.5000000000E+01    0.4703033413E+01    0.2969665868E+00
    0.4670000000E+01    0.4712748616E+01   -0.4274861580E-01
    0.5000000000E+01    0.4661794420E+01    0.3382055796E+00
    0.2660000000E+01    0.4623455412E+01   -0.1963455412E+01
    0.5000000000E+01    0.4648008213E+01    0.3519917867E+00
    0.5000000000E+01    0.4729175788E+01    0.2708242122E+00
    0.5000000000E+01    0.4667143569E+01    0.3328564310E+00
    0.5000000000E+01    0.4693462222E+01    0.3065377778E+00
    0.5000000000E+01    0.4717357993E+01    0.2826420073E+00
    0.5000000000E+01    0.5065720490E+01   -0.6572049021E-01
    0.5000000000E+01    0.5118659124E+01   -0.1186591239E+00
    0.5000000000E+01    0.5066781298E+01   -0.6678129831E-01
    0.5000000000E+01    0.5123771459E+01   -0.1237714588E+00
    0.5000000000E+01    0.4925885841E+01    0.7411415859E-01
    0.5000000000E+01    0.5024564109E+01   -0.2456410897E-01
    0.5000000000E+01    0.5030053138E+01   -0.3005313758E-01
    0.5000000000E+01    0.4940912467E+01    0.5908753346E-01
    0.5000000000E+01    0.4915247376E+01    0.8475262362E-01
Prediction RMSE and MaxAE:         0.4154892021        1.9634554125
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.5000000000E+01    0.5475164711E+01   -0.4751647113E+00
    0.4750000000E+01    0.5087156830E+01   -0.3371568304E+00
    0.5000000000E+01    0.4898209432E+01    0.1017905679E+00
    0.5000000000E+01    0.4896791075E+01    0.1032089252E+00
    0.5000000000E+01    0.4917846015E+01    0.8215398494E-01
    0.5000000000E+01    0.4951521445E+01    0.4847855470E-01
    0.4890000000E+01    0.4764029545E+01    0.1259704552E+00
    0.5000000000E+01    0.4897508433E+01    0.1024915672E+00
    0.4980000000E+01    0.5102615909E+01   -0.1226159088E+00
    0.5000000000E+01    0.4835571241E+01    0.1644287585E+00
    0.4670000000E+01    0.5081186095E+01   -0.4111860955E+00
    0.5000000000E+01    0.4602812863E+01    0.3971871374E+00
    0.2660000000E+01    0.4026905683E+01   -0.1366905683E+01
    0.5000000000E+01    0.4582702543E+01    0.4172974569E+00
    0.5000000000E+01    0.4817632175E+01    0.1823678254E+00
    0.5000000000E+01    0.4577649758E+01    0.4223502423E+00
    0.5000000000E+01    0.4734722539E+01    0.2652774612E+00
    0.5000000000E+01    0.4895177491E+01    0.1048225091E+00
    0.5000000000E+01    0.4900841017E+01    0.9915898255E-01
    0.5000000000E+01    0.4925377394E+01    0.7462260582E-01
    0.5000000000E+01    0.5017913896E+01   -0.1791389569E-01
    0.5000000000E+01    0.5470566046E+01   -0.4705660455E+00
    0.5000000000E+01    0.4812158860E+01    0.1878411397E+00
    0.5000000000E+01    0.4866051848E+01    0.1339481523E+00
    0.5000000000E+01    0.4992199162E+01    0.7800837981E-02
    0.5000000000E+01    0.4913480946E+01    0.8651905385E-01
    0.5000000000E+01    0.4906206950E+01    0.9379304985E-01
Prediction RMSE and MaxAE:         0.3552326052        1.3669056830
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.5000000000E+01    0.4963659941E+01    0.3634005899E-01
    0.4750000000E+01    0.4961616356E+01   -0.2116163562E+00
    0.5000000000E+01    0.4960859487E+01    0.3914051348E-01
    0.5000000000E+01    0.4959759041E+01    0.4024095874E-01
    0.5000000000E+01    0.4961093775E+01    0.3890622537E-01
    0.5000000000E+01    0.4962043737E+01    0.3795626322E-01
    0.4890000000E+01    0.4959374977E+01   -0.6937497675E-01
    0.5000000000E+01    0.4960328288E+01    0.3967171180E-01
    0.4980000000E+01    0.4961440600E+01    0.1855940025E-01
    0.5000000000E+01    0.4961654881E+01    0.3834511892E-01
    0.4670000000E+01    0.4961889013E+01   -0.2918890126E+00
    0.5000000000E+01    0.4957184699E+01    0.4281530146E-01
    0.2660000000E+01    0.2659999997E+01    0.2878103089E-08
    0.5000000000E+01    0.4956544059E+01    0.4345594117E-01
    0.5000000000E+01    0.4960480664E+01    0.3951933560E-01
    0.5000000000E+01    0.4959566118E+01    0.4043388224E-01
    0.5000000000E+01    0.4958643118E+01    0.4135688160E-01
    0.5000000000E+01    0.4960117732E+01    0.3988226807E-01
    0.5000000000E+01    0.5000875147E+01   -0.8751467402E-03
    0.5000000000E+01    0.5006622980E+01   -0.6622980396E-02
    0.5000000000E+01    0.5000186239E+01   -0.1862390867E-03
    0.5000000000E+01    0.5004551685E+01   -0.4551685464E-02
    0.5000000000E+01    0.4985891430E+01    0.1410856964E-01
    0.5000000000E+01    0.4996426950E+01    0.3573050152E-02
    0.5000000000E+01    0.4996317014E+01    0.3682985760E-02
    0.5000000000E+01    0.4987165386E+01    0.1283461380E-01
    0.5000000000E+01    0.4985705811E+01    0.1429418937E-01
Prediction RMSE and MaxAE:         0.0761303816        0.2918890126
