Predictions (y,pred,y-pred) by the model of dimension:     1
   -0.1209650000E+02   -0.1451238963E+02    0.2415889631E+01
   -0.1186140000E+02   -0.1777534975E+02    0.5913949753E+01
   -0.1346180000E+02   -0.1588792433E+02    0.2426124330E+01
   -0.1049360000E+02   -0.1657171611E+02    0.6078116111E+01
   -0.1666690000E+02   -0.2449124718E+02    0.7824347183E+01
   -0.1550820000E+02   -0.2703710195E+02    0.1152890195E+02
   -0.2080400000E+02   -0.2225029677E+02    0.1446296774E+01
   -0.1859420000E+02   -0.2511716583E+02    0.6522965827E+01
   -0.5760220000E+02   -0.2679334231E+02   -0.3080885769E+02
   -0.1312410000E+02   -0.1148778511E+02   -0.1636314891E+01
   -0.8796200000E+01   -0.1148778443E+02    0.2691584433E+01
   -0.1778410000E+02   -0.1148780494E+02   -0.6296295058E+01
   -0.1058300000E+02   -0.1148778978E+02    0.9047897833E+00
   -0.1049360000E+02   -0.1148781060E+02    0.9942105985E+00
   -0.1037260000E+02   -0.1148780484E+02    0.1115204843E+01
   -0.1566670000E+02   -0.1148778615E+02   -0.4178913854E+01
   -0.1290880000E+02   -0.1148780373E+02   -0.1420996267E+01
   -0.1967480000E+02   -0.1148785055E+02   -0.8186949446E+01
   -0.1454070000E+02   -0.1148778289E+02   -0.3052917110E+01
   -0.1175270000E+02   -0.1148778289E+02   -0.2649171100E+00
   -0.9909600000E+01   -0.1148778289E+02    0.1578182890E+01
   -0.7979400000E+01   -0.1148778289E+02    0.3508382890E+01
   -0.8704800000E+01   -0.1148778289E+02    0.2782982890E+01
   -0.1242480000E+02   -0.1148778289E+02   -0.9370171100E+00
   -0.1095110000E+02   -0.1148778289E+02    0.5366828900E+00
   -0.1078520000E+02   -0.1148778289E+02    0.7025828900E+00
   -0.1367580000E+02   -0.1148778289E+02   -0.2188017110E+01
Prediction RMSE and MaxAE:         7.3260326717       30.8088576947
Predictions (y,pred,y-pred) by the model of dimension:     2
   -0.1209650000E+02   -0.1410397338E+02    0.2007473384E+01
   -0.1186140000E+02   -0.1344770479E+02    0.1586304789E+01
   -0.1346180000E+02   -0.6607472412E+01   -0.6854327588E+01
   -0.1049360000E+02   -0.1093835899E+02    0.4447589908E+00
   -0.1666690000E+02   -0.1737286080E+02    0.7059608036E+00
   -0.1550820000E+02   -0.1622095028E+02    0.7127502751E+00
   -0.2080400000E+02   -0.1198008757E+02   -0.8823912427E+01
   -0.1859420000E+02   -0.2401585771E+02    0.5421657711E+01
   -0.5760220000E+02   -0.5465773397E+02   -0.2944466032E+01
   -0.1312410000E+02   -0.1259835749E+02   -0.5257425110E+00
   -0.8796200000E+01   -0.1263389764E+02    0.3837697635E+01
