Hz_1,Hz_2,Hz_3,u_1,u_2,u_3,widths_1,widths_2,widths_3,width_heights_1,width_heights_2,width_heights_3,prominences_1,prominences_2,prominences_3,minRL
2.76,4.16,13.48,0.472871,0.471713,0.364393,15.186610523132027,33.7219976154894,16.23343259092769,0.45619749999999987,0.449664357142857,0.3584127857142856,0.02932157142857139,0.04405071428571422,0.012694428571428551,-13.9129
2.76,4.28,16.56,0.427907,0.438294,0.395466,14.88203597403787,77.88461997892793,46.42149104762012,0.41226407142857135,0.41017142857142846,0.3762741428571428,0.026705000000000034,0.054119428571428485,0.03990371428571432,-17.9595
2.76,4.28,13.56,0.466773,0.461463,0.310295,18.34244289386507,25.275770996554066,14.194454740630476,0.43866635714285707,0.439073357142857,0.30510285714285706,0.04970785714285714,0.04306242857142856,0.012490000000000001,-15.0066
2.76,4.28,15.16,0.486485,0.486566,0.301546,16.2488317100103,30.909793725362697,14.649732282611296,0.46784521428571413,0.46537264285714275,0.2952564999999999,0.03259728571428572,0.04069528571428571,0.011042714285714295,-13.5033
2.76,4.28,13.64,0.363091,0.364473,0.29928,16.93056379221614,74.52407769618817,17.065210131447316,0.34026357142857133,0.3404057142857142,0.2918238571428571,0.040191714285714275,0.046953142857142804,0.016407428571428573,-11.8328
2.72,4.16,13.64,0.352459,0.349756,0.266607,17.055822069704853,25.95742030543817,24.948276291012974,0.3325026428571428,0.33127828571428564,0.25817442857142847,0.039545,0.03520342857142861,0.01756514285714289,-9.082
2.72,4.16,15.16,0.365387,0.373403,0.267431,15.881149013668388,74.72331452770729,21.058329130188724,0.3499506428571428,0.3493164285714285,0.2623512857142856,0.03281928571428572,0.04699400000000009,0.008950571428571363,-17.1732
4.16,9.96,14.76,0.34929,0.36658,0.658915,72.54318969009921,12.548723533461441,43.273817167499715,0.3265266428571428,0.3285894285714285,0.46754471428571415,0.04395842857142862,0.06666400000000006,0.3734642857142857,-23.6706
2.76,4.28,15.16,0.395483,0.409232,0.323241,14.680764432271436,97.25934036611396,18.783682588847853,0.38055385714285705,0.3765787857142856,0.31320728571428563,0.026433428571428552,0.0639398571428571,0.018203428571428537,-12.2271
2.76,4.2,13.56,0.38482,0.389824,0.299668,15.729692746585307,70.90707086084866,18.836361173963382,0.3621007142857142,0.3600830714285713,0.2908709285714285,0.03823228571428566,0.052098428571428546,0.018822714285714248,-11.3395
