Hz,u,widths,width_heights,left_ips,right_ips,prominences,left_bases,right_bases,Bandwidth
"2.76,4.16,13.48","0.472871,0.471713,0.364393","15.186610523132027,33.7219976154894,16.23343259092769","0.45619749999999987,0.449664357142857,0.3584127857142856","11.552056045090085,41.412030360531276,278.47751914851284","26.73866656822211,75.13402797602068,294.71095173944053","0.02932157142857139,0.04405071428571422,0.012694428571428551","0,0,271","36,400,400",4.64
"2.76,4.28,16.56","0.427907,0.438294,0.395466","14.88203597403787,77.88461997892793,46.42149104762012","0.41226407142857135,0.41017142857142846,0.3762741428571428","12.23726796763447,42.2654793085385,336.4312481557982","27.11930394167234,120.15009928746643,382.8527392034183","0.026705000000000034,0.054119428571428485,0.03990371428571432","0,0,309","36,309,400",5.76
"2.76,4.28,13.56","0.466773,0.461463,0.310295","18.34244289386507,25.275770996554066,14.194454740630476","0.43866635714285707,0.439073357142857,0.30510285714285706","9.868883226006423,45.149818357058116,282.9854090311873","28.211326119871494,70.42558935361218,297.1798637718178","0.04970785714285714,0.04306242857142856,0.012490000000000001","0,36,276","395,395,395",1.32
"2.76,4.28,15.16","0.486485,0.486566,0.301546","16.2488317100103,30.909793725362697,14.649732282611296","0.46784521428571413,0.46537264285714275,0.2952564999999999","10.74302507072481,43.94663351185921,320.51558367963736","26.99185678073511,74.85642723722191,335.16531596224866","0.03259728571428572,0.04069528571428571,0.011042714285714295","0,0,312","36,399,399",3.48
"2.76,4.28,13.64","0.363091,0.364473,0.29928","16.93056379221614,74.52407769618817,17.065210131447316","0.34026357142857133,0.3404057142857142,0.2918238571428571","10.517791819088787,44.995436820708534,282.6792147207464","27.44835561130493,119.5195145168967,299.74442485219373","0.040191714285714275,0.046953142857142804,0.016407428571428573","0,0,273","36,356,356",0.4
"2.72,4.16,15.16","0.365387,0.373403,0.267431","15.881149013668388,74.72331452770729,21.058329130188724","0.3499506428571428,0.3493164285714285,0.2623512857142856","9.743097264831697,42.3992839889579,315.9095563139931","25.624246278500085,117.12259851666519,336.96788544418183","0.03281928571428572,0.04699400000000009,0.008950571428571363","0,0,307","34,400,400",1.24
"4.16,9.96,14.76","0.34929,0.36658,0.658915","72.54318969009921,12.548723533461441,43.273817167499715","0.3265266428571428,0.3285894285714285,0.46754471428571415","43.064251781472684,192.17046891161934,295.1678275120352","115.6074414715719,204.71919244508078,338.44164467953493","0.04395842857142862,0.06666400000000006,0.3734642857142857","0,153,217","153,217,400",3.6
"2.76,4.28,15.16","0.395483,0.409232,0.323241","14.680764432271436,97.25934036611396,18.783682588847853","0.38055385714285705,0.3765787857142856,0.31320728571428563","12.638018993799546,41.33498485231,318.658039329092","27.318783426070983,138.59432521842396,337.44172191793984","0.026433428571428552,0.0639398571428571,0.018203428571428537","0,0,309","36,351,351",0.6
"2.76,4.2,13.56","0.38482,0.389824,0.299668","15.729692746585307,70.90707086084866,18.836361173963382","0.3621007142857142,0.3600830714285713,0.2908709285714285","10.910595888411677,43.26063650887076,280.5791612939396","26.640288634996985,114.16770736971942,299.415522467903","0.03823228571428566,0.052098428571428546,0.018822714285714248","0,0,271","36,393,393",0.32
"2.84,6.08,16.72","0.44655,0.498411,0.239002","12.213751446024595,107.12351411442313,16.45435143920264","0.4331124999999999,0.43882442857142845,0.2347085","15.305720431820902,42.01435463933968,359.9663263859351","27.519471877845497,149.1378687537628,376.4206778251377","0.018674999999999997,0.11669714285714283,0.011914428571428576","0,0,351","34,351,387",3.36
