Al91Zn5.2Mg2.3Cu1.5,Mg,SiCp,CNTs,固溶温度（℃）,固溶时间（min）,时效温度（℃）,时效时间（h）
100.0,0.0,0.0,0.0,460,30,120,9
100.0,0.0,0.0,0.0,460,30,120,10
100.0,0.0,0.0,0.0,460,30,120,11
100.0,0.0,0.0,0.0,460,30,120,12
100.0,0.0,0.0,0.0,460,30,120,13
100.0,0.0,0.0,0.0,460,30,120,14
100.0,0.0,0.0,0.0,460,30,120,15
100.0,0.0,0.0,0.0,460,30,120,16
100.0,0.0,0.0,0.0,460,30,120,17
100.0,0.0,0.0,0.0,460,30,120,18
100.0,0.0,0.0,0.0,460,30,120,19
100.0,0.0,0.0,0.0,460,30,120,20
100.0,0.0,0.0,0.0,460,30,120,21
100.0,0.0,0.0,0.0,460,30,120,22
100.0,0.0,0.0,0.0,460,30,120,23
100.0,0.0,0.0,0.0,460,30,120,24
100.0,0.0,0.0,0.0,460,31,120,9
100.0,0.0,0.0,0.0,460,31,120,10
100.0,0.0,0.0,0.0,460,31,120,11
100.0,0.0,0.0,0.0,460,31,120,12
100.0,0.0,0.0,0.0,460,31,120,13
100.0,0.0,0.0,0.0,460,31,120,14
100.0,0.0,0.0,0.0,460,31,120,15
100.0,0.0,0.0,0.0,460,31,120,16
100.0,0.0,0.0,0.0,460,31,120,17
100.0,0.0,0.0,0.0,460,31,120,18
100.0,0.0,0.0,0.0,460,31,120,19
100.0,0.0,0.0,0.0,460,31,120,20
100.0,0.0,0.0,0.0,460,31,120,21
100.0,0.0,0.0,0.0,460,31,120,22
100.0,0.0,0.0,0.0,460,31,120,23
100.0,0.0,0.0,0.0,460,31,120,24
100.0,0.0,0.0,0.0,460,32,120,9
100.0,0.0,0.0,0.0,460,32,120,10
100.0,0.0,0.0,0.0,460,32,120,11
100.0,0.0,0.0,0.0,460,32,120,12
100.0,0.0,0.0,0.0,460,32,120,13
100.0,0.0,0.0,0.0,460,32,120,14
100.0,0.0,0.0,0.0,460,32,120,15
100.0,0.0,0.0,0.0,460,32,120,16
100.0,0.0,0.0,0.0,460,32,120,17
100.0,0.0,0.0,0.0,460,32,120,18
100.0,0.0,0.0,0.0,460,32,120,19
100.0,0.0,0.0,0.0,460,32,120,20
100.0,0.0,0.0,0.0,460,32,120,21
100.0,0.0,0.0,0.0,460,32,120,22
100.0,0.0,0.0,0.0,460,32,120,23
100.0,0.0,0.0,0.0,460,32,120,24
100.0,0.0,0.0,0.0,460,33,120,9
100.0,0.0,0.0,0.0,460,33,120,10
100.0,0.0,0.0,0.0,460,33,120,11
100.0,0.0,0.0,0.0,460,33,120,12
100.0,0.0,0.0,0.0,460,33,120,13
100.0,0.0,0.0,0.0,460,33,120,14
100.0,0.0,0.0,0.0,460,33,120,15
100.0,0.0,0.0,0.0,460,33,120,16
100.0,0.0,0.0,0.0,460,33,120,17
100.0,0.0,0.0,0.0,460,33,120,18
100.0,0.0,0.0,0.0,460,33,120,19
100.0,0.0,0.0,0.0,460,33,120,20
100.0,0.0,0.0,0.0,460,33,120,21
100.0,0.0,0.0,0.0,460,33,120,22
100.0,0.0,0.0,0.0,460,33,120,23
100.0,0.0,0.0,0.0,460,33,120,24
100.0,0.0,0.0,0.0,460,34,120,9
100.0,0.0,0.0,0.0,460,34,120,10
100.0,0.0,0.0,0.0,460,34,120,11
100.0,0.0,0.0,0.0,460,34,120,12
100.0,0.0,0.0,0.0,460,34,120,13
100.0,0.0,0.0,0.0,460,34,120,14
100.0,0.0,0.0,0.0,460,34,120,15
100.0,0.0,0.0,0.0,460,34,120,16
100.0,0.0,0.0,0.0,460,34,120,17
100.0,0.0,0.0,0.0,460,34,120,18
100.0,0.0,0.0,0.0,460,34,120,19
100.0,0.0,0.0,0.0,460,34,120,20
100.0,0.0,0.0,0.0,460,34,120,21
100.0,0.0,0.0,0.0,460,34,120,22
100.0,0.0,0.0,0.0,460,34,120,23
100.0,0.0,0.0,0.0,460,34,120,24
100.0,0.0,0.0,0.0,460,35,120,9
100.0,0.0,0.0,0.0,460,35,120,10
100.0,0.0,0.0,0.0,460,35,120,11
100.0,0.0,0.0,0.0,460,35,120,12
100.0,0.0,0.0,0.0,460,35,120,13
100.0,0.0,0.0,0.0,460,35,120,14
100.0,0.0,0.0,0.0,460,35,120,15
100.0,0.0,0.0,0.0,460,35,120,16
100.0,0.0,0.0,0.0,460,35,120,17
100.0,0.0,0.0,0.0,460,35,120,18
100.0,0.0,0.0,0.0,460,35,120,19
100.0,0.0,0.0,0.0,460,35,120,20
100.0,0.0,0.0,0.0,460,35,120,21
100.0,0.0,0.0,0.0,460,35,120,22
100.0,0.0,0.0,0.0,460,35,120,23
100.0,0.0,0.0,0.0,460,35,120,24
100.0,0.0,0.0,0.0,460,36,120,9
100.0,0.0,0.0,0.0,460,36,120,10
100.0,0.0,0.0,0.0,460,36,120,11
100.0,0.0,0.0,0.0,460,36,120,12
100.0,0.0,0.0,0.0,460,36,120,13
100.0,0.0,0.0,0.0,460,36,120,14
100.0,0.0,0.0,0.0,460,36,120,15
100.0,0.0,0.0,0.0,460,36,120,16
100.0,0.0,0.0,0.0,460,36,120,17
100.0,0.0,0.0,0.0,460,36,120,18
100.0,0.0,0.0,0.0,460,36,120,19
100.0,0.0,0.0,0.0,460,36,120,20
100.0,0.0,0.0,0.0,460,36,120,21
100.0,0.0,0.0,0.0,460,36,120,22
100.0,0.0,0.0,0.0,460,36,120,23
100.0,0.0,0.0,0.0,460,36,120,24
100.0,0.0,0.0,0.0,460,37,120,9
100.0,0.0,0.0,0.0,460,37,120,10
100.0,0.0,0.0,0.0,460,37,120,11
100.0,0.0,0.0,0.0,460,37,120,12
100.0,0.0,0.0,0.0,460,37,120,13
100.0,0.0,0.0,0.0,460,37,120,14
100.0,0.0,0.0,0.0,460,37,120,15
100.0,0.0,0.0,0.0,460,37,120,16
100.0,0.0,0.0,0.0,460,37,120,17
100.0,0.0,0.0,0.0,460,37,120,18
100.0,0.0,0.0,0.0,460,37,120,19
100.0,0.0,0.0,0.0,460,37,120,20
100.0,0.0,0.0,0.0,460,37,120,21
100.0,0.0,0.0,0.0,460,37,120,22
100.0,0.0,0.0,0.0,460,37,120,23
100.0,0.0,0.0,0.0,460,37,120,24
100.0,0.0,0.0,0.0,460,38,120,9
100.0,0.0,0.0,0.0,460,38,120,10
100.0,0.0,0.0,0.0,460,38,120,11
100.0,0.0,0.0,0.0,460,38,120,12
100.0,0.0,0.0,0.0,460,38,120,13
100.0,0.0,0.0,0.0,460,38,120,14
100.0,0.0,0.0,0.0,460,38,120,15
100.0,0.0,0.0,0.0,460,38,120,16
100.0,0.0,0.0,0.0,460,38,120,17
100.0,0.0,0.0,0.0,460,38,120,18
100.0,0.0,0.0,0.0,460,38,120,19
100.0,0.0,0.0,0.0,460,38,120,20
100.0,0.0,0.0,0.0,460,38,120,21
100.0,0.0,0.0,0.0,460,38,120,22
100.0,0.0,0.0,0.0,460,38,120,23
100.0,0.0,0.0,0.0,460,38,120,24
100.0,0.0,0.0,0.0,460,39,120,9
100.0,0.0,0.0,0.0,460,39,120,10
100.0,0.0,0.0,0.0,460,39,120,11
100.0,0.0,0.0,0.0,460,39,120,12
100.0,0.0,0.0,0.0,460,39,120,13
100.0,0.0,0.0,0.0,460,39,120,14
100.0,0.0,0.0,0.0,460,39,120,15
100.0,0.0,0.0,0.0,460,39,120,16
100.0,0.0,0.0,0.0,460,39,120,17
100.0,0.0,0.0,0.0,460,39,120,18
100.0,0.0,0.0,0.0,460,39,120,19
100.0,0.0,0.0,0.0,460,39,120,20
100.0,0.0,0.0,0.0,460,39,120,21
100.0,0.0,0.0,0.0,460,39,120,22
100.0,0.0,0.0,0.0,460,39,120,23
100.0,0.0,0.0,0.0,460,39,120,24
100.0,0.0,0.0,0.0,460,40,120,9
100.0,0.0,0.0,0.0,460,40,120,10
