Ti,Mo,Ni,W,Si,Cu,P,Fe,N,Nb,C,Mn,S,Cr,roughness,heat-treatment/temperature-1,heat-treatment/time-1,heat-treatment/temperature-2,heat-treatment/time-2,heat-treatment/temperature-3,heat-treatment/time-3,heat-treatment/temperature-4,heat-treatment/time-4,heat-treatment/temperature-5,heat-treatment/time-5,PREN
0.0,0.35,1.19,0.0,0.29,0.0,0.015,0.0,0.0,0.0,0.027,5.72,0.0049,0.0,3.0,1000.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.41355
0.0,0.35,1.19,0.0,0.29,0.0,0.015,0.0,0.0,0.0,0.027,5.72,0.0049,0.0,3.0,1000.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.69355
0.0,0.35,1.19,0.0,0.29,0.0,0.015,0.0,0.0,0.0,0.027,5.72,0.0049,0.0,3.0,1000.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.41355
0.0,6.15,18.03,0.0,0.22,0.7,0.0,0.0,0.21,0.0,0.013,0.45,0.001,20.27,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.925
0.0,6.15,18.03,0.0,0.22,0.7,0.0,0.0,0.21,0.0,0.013,0.45,0.001,20.27,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.475
0.0,6.2,23.87,0.0,0.28,0.36,0.0,0.0,0.2,0.0,0.02,0.44,0.0002,20.31,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.97
0.0,6.2,23.87,0.0,0.28,0.36,0.0,0.0,0.2,0.0,0.02,0.44,0.0002,20.31,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.53
0.0,0.42,4.8,0.0,0.38,0.3,0.025,0.0,0.12,0.0,0.016,1.49,0.001,23.23,3.0,1350.0,2.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.26306
0.0,0.42,4.8,0.0,0.38,0.3,0.025,0.0,0.12,0.0,0.016,1.49,0.001,23.23,3.0,1350.0,2.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.26306
0.0,0.42,4.8,0.0,0.38,0.3,0.025,0.0,0.12,0.0,0.016,1.49,0.001,23.23,3.0,1350.0,2.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.046
0.0,0.39,4.86,0.0,0.37,0.23,0.029,0.0,0.131,0.0,0.018,1.5,0.001,23.51,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9
0.0,2.55,4.91,0.0,0.3,0.23,0.03,0.0,0.16,0.0,0.017,1.81,0.0,22.16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1
0.007,4.37,24.26,0.0,0.33,1.41,0.023,0.0,0.054,0.0,0.011,1.62,0.001,20.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6
0.0,3.15,5.73,0.0,0.32,0.24,0.023,0.0,0.18,0.0,0.017,1.4,0.001,22.43,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7
0.0,3.66,6.75,0.65,0.58,0.56,0.024,0.0,0.23,0.0,0.028,0.64,0.001,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8
0.0,3.76,6.32,0.0,0.33,1.8,0.021,0.0,0.25,0.0,0.038,0.96,0.001,24.14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5
0.0,3.83,6.4,0.0,0.36,0.2,0.024,0.0,0.27,0.0,0.028,0.81,0.001,24.41,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4
0.0,0.3,1.53,0.0,0.28,0.29,0.019,0.0,0.21,0.0,0.02,5.4,0.001,21.08,3.0,1050.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.43
