steel-id,steel-name,steel-type,comment,Co,Ti,Mo,Ni,W,Al,Si,V,Cu,P,Fe,Sn,N,Nb,C,Mn,S,Cr,sample-name,comment,no-heat-treatment,heat-treatment/temperature-1,heat-treatment/time-1,heat-treatment/temperature-2,heat-treatment/time-2,heat-treatment/temperature-3,heat-treatment/time-3,heat-treatment/temperature-4,heat-treatment/time-4,heat-treatment/temperature-5,heat-treatment/time-5,heat-treatment/temperature-6,heat-treatment/time-6,heat-treatment/temperature-7,heat-treatment/time-7,test-name,result/no-pitting,info/testing-area,info/temperature,info/scan-rate,info/initial-potential,result/pitting-breakdown-potential,info/initial-temperature,info/polarized-potential,info/heating-rate,result/critical-pitting-temperature,info/current-density,result/maximum-activation-current-density,result/maximum-reactivation-current-density,result/current-reactivation-ratio,solution/solute-1,solute-1,solution/weight-concentration-1,solution/mol-concentration-1,solution/solute-2,solute-2,solution/weight-concentration-2,solution/mol-concentration-2,solution/solute-3,solute-3,solution/weight-concentration-3,solution/mol-concentration-3,NaCl-weight,NaCl-mol,H2SO4-weight,H2SO4-mol,HCL-weight,HCL-mol,Oxalic acid-weight,Oxalic acid-mol,过硫酸铵-weight,过硫酸铵-mol,NaBr-weight,NaBr-mol,FeCl3-weight,FeCl3-mol,硼酸-weight,硼酸-mol,NaBr+NaCl-weight,NaBr+NaCl-mol,Na2SO4-weight,Na2SO4-mol,OH--weight,OH-mol,硼酸盐-weight,硼酸盐-mol,KSCN-weight,KSCN-mol,SnCl2-weight,SnCl2-mol,氢氧化钠-weight,氢氧化钠-mol,ferric sulphate-weight,ferric sulphate-mol,immersion-test//solid-content,immersion-test//boiling,immersion-test//cycles,cycle-number-1,weight-after-test-1,corrosion-rate-1,cycle-number-2,weight-after-test-2,corrosion-rate-2,cycle-number-3,weight-after-test-3,corrosion-rate-3,cycle-number-4,weight-after-test-4,corrosion-rate-4,cycle-number-5,weight-after-test-5,corrosion-rate-5,cycle-number-6,weight-after-test-6,corrosion-rate-6,PREN,xml
5,304,奥氏体不锈钢,no,,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,600#,no,no-heat-treatment,,,,,,,,,,,,,,,PP,,0.2826,30,0.0001667,-0.3691,0.285,,,,,,,,,NaCl,1,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084cc1e865f8b0017b41385_6084cc1e865f8b0017b41387.xml
5,304,奥氏体不锈钢,no,,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,600#,no,no-heat-treatment,,,,,,,,,,,,,,,PP,,0.2826,30,0.0001667,-0.3847,0.269,,,,,,,,,NaCl,1,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084ccd2865f8b0017b414e2_6084ccd2865f8b0017b414e4.xml
5,304,奥氏体不锈钢,no,,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,1000#,no,no-heat-treatment,,,,,,,,,,,,,,,PP,,0.2826,30,0.0001667,-0.3588,0.332,,,,,,,,,NaCl,1,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084d176865f8b0017b4163f_6084d176865f8b0017b41641.xml
5,304,奥氏体不锈钢,no,,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,1000#,no,no-heat-treatment,,,,,,,,,,,,,,,PP,,0.2826,30,0.0001667,-0.3847,0.309,,,,,,,,,NaCl,1,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084d1f0865f8b0017b4179c_6084d1f0865f8b0017b4179e.xml
5,304,奥氏体不锈钢,no,,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,1000#,no,no-heat-treatment,,,,,,,,,,,,,,,PP,,0.2826,30,0.0001667,-0.3909,0.3111,,,,,,,,,NaCl,1,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084d249865f8b0017b418f9_6084d249865f8b0017b418fb.xml
5,304,奥氏体不锈钢,no,,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,1000#,no,no-heat-treatment,,,,,,,,,,,,,,,PP,,0.2826,30,0.0001667,-0.3813,0.3561,,,,,,,,,NaCl,1,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084d294865f8b0017b41a56_6084d294865f8b0017b41a58.xml
5,304,奥氏体不锈钢,no,,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,2000#,no,no-heat-treatment,,,,,,,,,,,,,,,PP,,0.2826,30,0.0001667,-0.3861,0.3753,,,,,,,,,NaCl,1,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084d2fd865f8b0017b41bb3_6084d2fd865f8b0017b41bb5.xml
5,304,奥氏体不锈钢,no,,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,2000#,no,no-heat-treatment,,,,,,,,,,,,,,,PP,,0.2826,30,0.0001667,-0.3926,0.3592,,,,,,,,,NaCl,1,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084d340865f8b0017b41d10_6084d340865f8b0017b41d12.xml
5,304,奥氏体不锈钢,no,,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,2.5μm polished,no,no-heat-treatment,,,,,,,,,,,,,,,PP,,0.2826,30,0.0001667,-0.3909,0.3946,,,,,,,,,NaCl,1,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084d3da865f8b0017b41e6d_6084d3da865f8b0017b41e6f.xml
5,304,奥氏体不锈钢,no,,,,8.15,,,0.44,,,0.033,,,,,0.061,0.83,0.005,17.62,2.5μm polished,no,no-heat-treatment,,,,,,,,,,,,,,,PP,,0.2826,30,0.0001667,-0.4,0.4616,,,,,,,,,NaCl,1,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084d44d865f8b0017b41fca_6084d44d865f8b0017b41fcc.xml
