a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
35,0,66,550,36.3,200,35,5,300,25,120
63,0,66,550,36.3,200,35,5,300,25,120
95,0.2,66,550,36.3,200,35,5,300,25,120
126,0.3,66,550,36.3,200,35,5,300,25,120
158,0.9,66,550,36.3,200,35,5,300,25,120
183,1.2,66,550,36.3,200,35,5,300,25,120
215,1.9,66,550,36.3,200,35,5,300,25,120
248,2,66,550,36.3,200,35,5,300,25,120
274,2,66,550,36.3,200,35,5,300,25,120
311,2,66,550,36.3,200,35,5,300,25,120
341,2.2,66,550,36.3,200,35,5,300,25,120
373,2.4,66,550,36.3,200,35,5,300,25,120
442,6.9,66,550,36.3,200,35,5,300,25,120
505,8.7,66,550,36.3,200,35,5,300,25,120
