热循环次数,剥落面积百分比,电压(V),电流(A),功率(KW),厚度(μm),氩气(SPLM),氢气(SPLM),载气,送粉量(g/min),喷涂距离(mm)
35,1.196858,67,600,40.2,200,35,5,300,25,120
63,2.100736,67,600,40.2,200,35,5,300,25,120
95,3.431617,67,600,40.2,200,35,5,300,25,120
126,3.679092,67,600,40.2,200,35,5,300,25,120
158,4.18277,67,600,40.2,200,35,5,300,25,120
183,5.083531,67,600,40.2,200,35,5,300,25,120
215,5.583779,67,600,40.2,200,35,5,300,25,120
248,6.224217,67,600,40.2,200,35,5,300,25,120
274,7.145404,67,600,40.2,200,35,5,300,25,120
311,7.25665,67,600,40.2,200,35,5,300,25,120
341,7.752505,67,600,40.2,200,35,5,300,25,120
373,9.493958,67,600,40.2,200,35,5,300,25,120
442,10.61367,67,600,40.2,200,35,5,300,25,120
505,10.91453,67,600,40.2,200,35,5,300,25,120
