热循环次数,剥落面积百分比,电压(V),电流(A),功率(KW),厚度(μm),氩气(SPLM),氢气(SPLM),载气,送粉量(g/min),喷涂距离(mm)
45,1.762963,68,650,44.2,200,35,5,300,25,120
70,3.4,68,650,44.2,200,35,5,300,25,120
110,5.752693,68,650,44.2,200,35,5,300,25,120
142,6.937226,68,650,44.2,200,35,5,300,25,120
170,6.957238,68,650,44.2,200,35,5,300,25,120
202,7.261417,68,650,44.2,200,35,5,300,25,120
233,9.177408,68,650,44.2,200,35,5,300,25,120
265,9.312332,68,650,44.2,200,35,5,300,25,120
290,9.591423,68,650,44.2,200,35,5,300,25,120
322,11.09386,68,650,44.2,200,35,5,300,25,120
355,11.30202,68,650,44.2,200,35,5,300,25,120
381,11.5125,68,650,44.2,200,35,5,300,25,120
418,11.5125,68,650,44.2,200,35,5,300,25,120
