热循环次数,剥落面积百分比,电压(V),电流(A),功率(KW),厚度(μm),氩气(SPLM),氢气(SPLM),载气,送粉量(g/min),喷涂距离(mm)
26,0,67,600,40.2,300,35,5,300,25,120
54,0,67,600,40.2,300,35,5,300,25,120
86,0.265813,67,600,40.2,300,35,5,300,25,120
117,1.730674,67,600,40.2,300,35,5,300,25,120
149,2.749431,67,600,40.2,300,35,5,300,25,120
174,3.343465,67,600,40.2,300,35,5,300,25,120
206,4.648291,67,600,40.2,300,35,5,300,25,120
239,6.45974,67,600,40.2,300,35,5,300,25,120
265,7.535345,67,600,40.2,300,35,5,300,25,120
302,7.549614,67,600,40.2,300,35,5,300,25,120
332,7.549614,67,600,40.2,300,35,5,300,25,120
364,7.736828,67,600,40.2,300,35,5,300,25,120
433,7.747673,67,600,40.2,300,35,5,300,25,120
496,7.781919,67,600,40.2,300,35,5,300,25,120
