热循环次数,电压(V),电流(A),功率(KW),厚度(μm),氩气(SPLM),氢气(SPLM),载气,送粉量(g/min),喷涂距离(mm),剥落面积百分比
35,66,550,36.3,200,35,5,300,25,120,0
63,66,550,36.3,200,35,5,300,25,120,0
95,66,550,36.3,200,35,5,300,25,120,0.2
126,66,550,36.3,200,35,5,300,25,120,0.3
158,66,550,36.3,200,35,5,300,25,120,0.9
183,66,550,36.3,200,35,5,300,25,120,1.2
215,66,550,36.3,200,35,5,300,25,120,1.9
248,66,550,36.3,200,35,5,300,25,120,2
274,66,550,36.3,200,35,5,300,25,120,2
311,66,550,36.3,200,35,5,300,25,120,2
341,66,550,36.3,200,35,5,300,25,120,2.2
373,66,550,36.3,200,35,5,300,25,120,2.4
442,66,550,36.3,200,35,5,300,25,120,6.9
505,66,550,36.3,200,35,5,300,25,120,8.7
35,67,600,40.2,200,35,5,300,25,120,1.196858
63,67,600,40.2,200,35,5,300,25,120,2.100736
95,67,600,40.2,200,35,5,300,25,120,3.431617
126,67,600,40.2,200,35,5,300,25,120,3.679092
158,67,600,40.2,200,35,5,300,25,120,4.18277
183,67,600,40.2,200,35,5,300,25,120,5.083531
215,67,600,40.2,200,35,5,300,25,120,5.583779
248,67,600,40.2,200,35,5,300,25,120,6.224217
274,67,600,40.2,200,35,5,300,25,120,7.145404
311,67,600,40.2,200,35,5,300,25,120,7.25665
341,67,600,40.2,200,35,5,300,25,120,7.752505
373,67,600,40.2,200,35,5,300,25,120,9.493958
442,67,600,40.2,200,35,5,300,25,120,10.61367
505,67,600,40.2,200,35,5,300,25,120,10.91453
45,68,650,44.2,200,35,5,300,25,120,1.762963
70,68,650,44.2,200,35,5,300,25,120,3.4
110,68,650,44.2,200,35,5,300,25,120,5.752693
142,68,650,44.2,200,35,5,300,25,120,6.937226
170,68,650,44.2,200,35,5,300,25,120,6.957238
202,68,650,44.2,200,35,5,300,25,120,7.261417
233,68,650,44.2,200,35,5,300,25,120,9.177408
265,68,650,44.2,200,35,5,300,25,120,9.312332
290,68,650,44.2,200,35,5,300,25,120,9.591423
